Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_ACIK_YUZEY_BUHARLASMASI_mm
17237|DEN?ZL?|2015|6|148.8
17237|DEN?ZL?|2015|7|215.6
17237|DEN?ZL?|2015|8|188.3
17237|DEN?ZL?|2015|9|136.7
17237|DEN?ZL?|2015|10|79.6
17237|DEN?ZL?|2015|11|56.2
17237|DEN?ZL?|2015|12|2.8
17237|DEN?ZL?|2015|13|1074.4
17237|DEN?ZL?|2016|4|146.4
17237|DEN?ZL?|2016|5|135.0
17237|DEN?ZL?|2016|6|239.5
17237|DEN?ZL?|2016|7|253.9
17237|DEN?ZL?|2016|8|204.5
17237|DEN?ZL?|2016|9|143.1
17237|DEN?ZL?|2016|10|101.9
17237|DEN?ZL?|2016|11|49.9
17237|DEN?ZL?|2016|12|0.0
17237|DEN?ZL?|2016|13|1274.2
17237|DEN?ZL?|2017|4|96.9
17237|DEN?ZL?|2017|5|134.0
17237|DEN?ZL?|2017|6|168.0
17237|DEN?ZL?|2017|7|246.5
17237|DEN?ZL?|2017|8|180.0
17237|DEN?ZL?|2017|9|150.3
17237|DEN?ZL?|2017|10|80.2
17237|DEN?ZL?|2017|11|41.8
17237|DEN?ZL?|2017|12|1.0
17237|DEN?ZL?|2017|13|1098.7
17237|DEN?ZL?|2018|4|120.5
17237|DEN?ZL?|2018|5|147.9
17237|DEN?ZL?|2018|6|159.5
17237|DEN?ZL?|2018|7|205.3
17237|DEN?ZL?|2018|8|170.3
17237|DEN?ZL?|2018|9|145.1
17237|DEN?ZL?|2018|10|86.2
17237|DEN?ZL?|2018|11|45.5
17237|DEN?ZL?|2018|13|1080.3
17237|DEN?ZL?|2019|4|91.2
17237|DEN?ZL?|2019|5|143.4
17237|DEN?ZL?|2019|6|167.3
17237|DEN?ZL?|2019|7|209.5
17237|DEN?ZL?|2019|8|217.9
17237|DEN?ZL?|2019|9|136.6
17237|DEN?ZL?|2019|10|94.8
17237|DEN?ZL?|2019|11|53.4
17237|DEN?ZL?|2019|12|0.8
17237|DEN?ZL?|2019|13|1114.9
17237|DEN?ZL?|2020|3|2.6
17237|DEN?ZL?|2020|4|90.8
17237|DEN?ZL?|2020|5|122.9
17237|DEN?ZL?|2020|6|153.8
17237|DEN?ZL?|2020|7|206.1
17237|DEN?ZL?|2020|8|191.3
17237|DEN?ZL?|2020|9|140.0
17237|DEN?ZL?|2020|10|91.8
17237|DEN?ZL?|2020|11|40.2
17237|DEN?ZL?|2020|13|1039.5
17237|DEN?ZL?|2021|4|98.3
17237|DEN?ZL?|2021|5|178.5
17237|DEN?ZL?|2021|6|157.7
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|1|29.6
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|2|41.7
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|3|69.5
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|4|98.9
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|5|122.7
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|6|169.6
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|7|263.4
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|8|245.2
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|9|75.2
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|10|74.3
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|11|47.5
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|12|39.4
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2014|13|1277.0
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|1|35.3
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|2|48.7
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|3|54.9
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|4|75.8
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|5|118.1
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|6|105.4
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|7|219.0
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|8|219.2
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|9|173.2
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|10|92.0
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|11|58.7
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|12|24.2
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2015|13|1224.5
17257|DEN?ZL? ?ARDAK HAVAL?MANI|2021|6|7.1
17296|FETH?YE|1984|4|45.0
17296|FETH?YE|1984|5|167.6
17296|FETH?YE|1984|6|221.2
17296|FETH?YE|1984|7|286.0
17296|FETH?YE|1984|8|255.5
17296|FETH?YE|1984|9|163.6
17296|FETH?YE|1984|10|121.6
17296|FETH?YE|1984|11|53.6
17296|FETH?YE|1984|12|34.5
17296|FETH?YE|1984|13|1348.6
17296|FETH?YE|1985|1|57.2
17296|FETH?YE|1985|2|38.4
17296|FETH?YE|1985|3|80.4
17296|FETH?YE|1985|4|120.6
17296|FETH?YE|1985|5|158.8
17296|FETH?YE|1985|6|224.9
17296|FETH?YE|1985|7|267.2
17296|FETH?YE|1985|8|240.8
17296|FETH?YE|1985|9|181.1
17296|FETH?YE|1985|10|124.1
17296|FETH?YE|1985|11|54.0
17296|FETH?YE|1985|12|39.0
17296|FETH?YE|1985|13|1586.5
17296|FETH?YE|1986|3|78.9
17296|FETH?YE|1986|4|130.1
17296|FETH?YE|1986|5|173.1
17296|FETH?YE|1986|6|218.0
17296|FETH?YE|1986|7|245.5
17296|FETH?YE|1986|8|205.3
17296|FETH?YE|1986|9|141.0
17296|FETH?YE|1986|10|114.7
17296|FETH?YE|1986|11|69.3
17296|FETH?YE|1986|12|56.0
17296|FETH?YE|1986|13|1431.9
17296|FETH?YE|1987|3|74.2
17296|FETH?YE|1987|4|98.6
17296|FETH?YE|1987|5|128.8
17296|FETH?YE|1987|6|201.3
17296|FETH?YE|1987|7|240.9
17296|FETH?YE|1987|8|221.9
17296|FETH?YE|1987|9|166.9
17296|FETH?YE|1987|10|133.4
17296|FETH?YE|1987|11|58.2
17296|FETH?YE|1987|12|41.9
17296|FETH?YE|1987|13|1366.1
17296|FETH?YE|1988|3|78.2
17296|FETH?YE|1988|4|99.6
17296|FETH?YE|1988|5|161.2
17296|FETH?YE|1988|6|205.7
17296|FETH?YE|1988|7|252.6
17296|FETH?YE|1988|8|192.8
17296|FETH?YE|1988|9|180.6
17296|FETH?YE|1988|10|107.3
17296|FETH?YE|1988|11|58.1
17296|FETH?YE|1988|12|47.1
17296|FETH?YE|1988|13|1383.2
17296|FETH?YE|1989|3|85.6
17296|FETH?YE|1989|4|123.2
17296|FETH?YE|1989|5|172.6
17296|FETH?YE|1989|6|210.1
17296|FETH?YE|1989|7|243.4
17296|FETH?YE|1989|8|202.9
17296|FETH?YE|1989|9|181.8
17296|FETH?YE|1989|10|108.0
17296|FETH?YE|1989|11|52.1
17296|FETH?YE|1989|12|35.2
17296|FETH?YE|1989|13|1414.9
17296|FETH?YE|1990|3|109.2
17296|FETH?YE|1990|4|122.8
17296|FETH?YE|1990|5|175.0
17296|FETH?YE|1990|6|205.7
17296|FETH?YE|1990|7|229.5
17296|FETH?YE|1990|8|219.3
17296|FETH?YE|1990|9|175.9
17296|FETH?YE|1990|10|119.7
17296|FETH?YE|1990|11|54.1
17296|FETH?YE|1990|12|34.1
17296|FETH?YE|1990|13|1445.3
17296|FETH?YE|1991|1|46.4
17296|FETH?YE|1991|3|89.4
17296|FETH?YE|1991|4|121.5
17296|FETH?YE|1991|5|120.8
17296|FETH?YE|1991|6|206.2
17296|FETH?YE|1991|7|210.3
17296|FETH?YE|1991|8|209.0
17296|FETH?YE|1991|9|166.6
17296|FETH?YE|1991|10|103.1
17296|FETH?YE|1991|11|54.0
17296|FETH?YE|1991|12|29.2
17296|FETH?YE|1991|13|1356.5
17296|FETH?YE|1992|3|66.3
17296|FETH?YE|1992|4|106.0
17296|FETH?YE|1992|5|123.2
17296|FETH?YE|1992|6|173.0
17296|FETH?YE|1992|7|213.2
17296|FETH?YE|1992|8|224.2
17296|FETH?YE|1992|9|159.6
17296|FETH?YE|1992|10|94.4
17296|FETH?YE|1992|11|61.5
17296|FETH?YE|1992|12|33.5
17296|FETH?YE|1992|13|1254.9
17296|FETH?YE|1993|3|81.2
17296|FETH?YE|1993|4|99.3
17296|FETH?YE|1993|5|127.1
17296|FETH?YE|1993|6|182.0
