Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_NEM_%
17186|MAN?SA|1995|13|61.2
17186|MAN?SA|1996|1|73.4
17186|MAN?SA|1996|2|73.5
17186|MAN?SA|1996|3|66.8
17186|MAN?SA|1996|4|64.5
17186|MAN?SA|1996|5|56.2
17186|MAN?SA|1996|6|41.4
17186|MAN?SA|1996|7|44.5
17186|MAN?SA|1996|8|48.7
17186|MAN?SA|1996|9|56.0
17186|MAN?SA|1996|10|66.6
17186|MAN?SA|1996|11|68.1
17186|MAN?SA|1996|12|76.1
17186|MAN?SA|1996|13|61.3
17186|MAN?SA|1997|1|73.4
17186|MAN?SA|1997|2|66.7
17186|MAN?SA|1997|3|61.4
17186|MAN?SA|1997|4|69.3
17186|MAN?SA|1997|5|52.2
17186|MAN?SA|1997|6|48.8
17186|MAN?SA|1997|7|42.6
17186|MAN?SA|1997|8|52.3
17186|MAN?SA|1997|9|49.8
17186|MAN?SA|1997|10|66.3
17186|MAN?SA|1997|11|80.3
17186|MAN?SA|1997|12|80.9
17186|MAN?SA|1997|13|62.0
17186|MAN?SA|1998|1|79.7
17186|MAN?SA|1998|2|68.4
17186|MAN?SA|1998|3|67.8
17186|MAN?SA|1998|4|61.8
17186|MAN?SA|1998|5|67.4
17186|MAN?SA|1998|6|50.1
17186|MAN?SA|1998|7|44.7
17186|MAN?SA|1998|8|46.5
17186|MAN?SA|1998|9|55.0
17186|MAN?SA|1998|10|66.3
17186|MAN?SA|1998|11|78.1
17186|MAN?SA|1998|12|79.8
17186|MAN?SA|1998|13|63.8
17186|MAN?SA|1999|1|78.7
17186|MAN?SA|1999|2|78.6
17186|MAN?SA|1999|3|71.4
17186|MAN?SA|1999|4|63.4
17186|MAN?SA|1999|5|49.0
17186|MAN?SA|1999|6|48.8
17186|MAN?SA|1999|7|47.0
17186|MAN?SA|1999|8|45.5
17186|MAN?SA|1999|9|51.3
17186|MAN?SA|1999|10|63.1
17186|MAN?SA|1999|11|68.4
17186|MAN?SA|1999|12|80.3
17186|MAN?SA|1999|13|62.0
17186|MAN?SA|2000|1|72.6
17186|MAN?SA|2000|2|72.6
17186|MAN?SA|2000|3|69.1
17186|MAN?SA|2000|4|70.3
17186|MAN?SA|2000|5|55.9
17186|MAN?SA|2000|6|44.8
17186|MAN?SA|2000|7|39.3
17186|MAN?SA|2000|8|46.9
17186|MAN?SA|2000|9|50.6
17186|MAN?SA|2000|10|66.7
17186|MAN?SA|2000|11|73.6
17186|MAN?SA|2000|12|76.9
17186|MAN?SA|2000|13|61.6
17186|MAN?SA|2001|1|76.8
17186|MAN?SA|2001|2|73.3
17186|MAN?SA|2001|3|64.2
17186|MAN?SA|2001|4|66.3
17186|MAN?SA|2001|5|56.2
17186|MAN?SA|2001|6|42.3
17186|MAN?SA|2001|7|43.1
17186|MAN?SA|2001|8|47.3
17186|MAN?SA|2001|9|54.8
17186|MAN?SA|2001|10|55.1
17186|MAN?SA|2001|11|77.8
17186|MAN?SA|2001|12|80.5
17186|MAN?SA|2001|13|61.4
17186|MAN?SA|2002|1|77.5
17186|MAN?SA|2002|2|73.5
17186|MAN?SA|2002|3|72.9
17186|MAN?SA|2002|4|69.9
17186|MAN?SA|2002|5|54.0
17186|MAN?SA|2002|6|46.4
17186|MAN?SA|2002|7|50.5
17186|MAN?SA|2002|8|51.6
17186|MAN?SA|2002|9|66.8
17186|MAN?SA|2002|10|72.4
17186|MAN?SA|2002|11|80.3
17186|MAN?SA|2002|12|78.0
17186|MAN?SA|2002|13|66.1
17186|MAN?SA|2003|1|76.6
17186|MAN?SA|2003|2|72.9
17186|MAN?SA|2003|3|63.3
17186|MAN?SA|2003|4|69.6
17186|MAN?SA|2003|5|55.3
17186|MAN?SA|2003|6|42.3
17186|MAN?SA|2003|7|43.0
17186|MAN?SA|2003|8|45.6
17186|MAN?SA|2003|9|55.7
17186|MAN?SA|2003|10|59.0
17186|MAN?SA|2003|11|75.8
17186|MAN?SA|2003|12|76.9
17186|MAN?SA|2003|13|61.2
17186|MAN?SA|2004|1|76.7
17186|MAN?SA|2004|2|67.1
17186|MAN?SA|2004|3|57.9
17186|MAN?SA|2004|4|58.1
17186|MAN?SA|2004|5|54.5
17186|MAN?SA|2004|6|49.6
17186|MAN?SA|2004|7|45.2
17186|MAN?SA|2004|8|50.0
17186|MAN?SA|2004|9|54.3
17186|MAN?SA|2004|10|60.7
17186|MAN?SA|2004|11|68.5
17186|MAN?SA|2004|12|73.0
17186|MAN?SA|2004|13|59.6
17186|MAN?SA|2005|1|74.2
17186|MAN?SA|2005|2|69.6
17186|MAN?SA|2005|3|65.1
17186|MAN?SA|2005|4|56.5
17186|MAN?SA|2005|5|58.1
17186|MAN?SA|2005|6|53.6
17186|MAN?SA|2005|7|52.4
17186|MAN?SA|2005|8|55.9
17186|MAN?SA|2005|9|60.1
17186|MAN?SA|2005|10|64.9
17186|MAN?SA|2005|11|73.2
17186|MAN?SA|2005|12|70.2
17186|MAN?SA|2005|13|62.8
17186|MAN?SA|2006|1|73.7
17186|MAN?SA|2006|2|71.7
17186|MAN?SA|2006|3|66.6
17186|MAN?SA|2006|4|58.1
17186|MAN?SA|2006|5|52.3
17186|MAN?SA|2006|6|55.2
17186|MAN?SA|2006|7|53.7
17186|MAN?SA|2006|8|51.5
17186|MAN?SA|2006|9|60.4
17186|MAN?SA|2006|10|69.7
17186|MAN?SA|2006|11|75.5
17186|MAN?SA|2006|12|75.8
17186|MAN?SA|2006|13|63.6
17186|MAN?SA|2007|1|70.8
17186|MAN?SA|2007|2|70.3
17186|MAN?SA|2007|3|61.4
17186|MAN?SA|2007|4|49.3
17186|MAN?SA|2007|5|40.8
17186|MAN?SA|2007|6|40.5
17186|MAN?SA|2007|7|31.8
17186|MAN?SA|2007|8|36.9
17186|MAN?SA|2007|9|37.9
17186|MAN?SA|2007|10|60.2
17186|MAN?SA|2007|11|74.3
17186|MAN?SA|2007|12|80.1
17186|MAN?SA|2007|13|55.0
17186|MAN?SA|2008|1|74.9
17186|MAN?SA|2008|2|67.3
17186|MAN?SA|2008|3|62.0
17186|MAN?SA|2008|4|60.3
17186|MAN?SA|2008|5|45.9
17186|MAN?SA|2008|6|38.6
17186|MAN?SA|2008|7|33.9
17186|MAN?SA|2008|8|38.8
17186|MAN?SA|2008|9|50.4
17186|MAN?SA|2008|10|59.9
17186|MAN?SA|2008|11|71.7
17186|MAN?SA|2008|12|80.1
17186|MAN?SA|2008|13|56.9
17186|MAN?SA|2009|1|81.1
17186|MAN?SA|2009|2|74.8
17186|MAN?SA|2009|3|70.9
17186|MAN?SA|2009|4|64.7
17186|MAN?SA|2009|5|48.7
17186|MAN?SA|2009|6|40.7
17186|MAN?SA|2009|7|38.6
17186|MAN?SA|2009|8|38.2
17186|MAN?SA|2009|9|54.1
17186|MAN?SA|2009|10|61.4
