Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_SICAKLIK_C
17186|MAN?SA|1991|8|37.7
17186|MAN?SA|1991|9|38.0
17186|MAN?SA|1991|10|37.3
17186|MAN?SA|1991|11|23.2
17186|MAN?SA|1991|12|17.6
17186|MAN?SA|1991|13|38.9
17186|MAN?SA|1992|1|12.7
17186|MAN?SA|1992|2|17.5
17186|MAN?SA|1992|3|24.3
17186|MAN?SA|1992|4|29.2
17186|MAN?SA|1992|5|32.3
17186|MAN?SA|1992|6|38.7
17186|MAN?SA|1992|7|42.5
17186|MAN?SA|1992|8|39.8
17186|MAN?SA|1992|9|38.6
17186|MAN?SA|1992|10|35.5
17186|MAN?SA|1992|11|27.2
17186|MAN?SA|1992|12|19.1
17186|MAN?SA|1992|13|42.5
17186|MAN?SA|1993|1|17.9
17186|MAN?SA|1993|2|15.7
17186|MAN?SA|1993|3|25.4
17186|MAN?SA|1993|4|30.3
17186|MAN?SA|1993|5|34.4
17186|MAN?SA|1993|6|40.0
17186|MAN?SA|1993|7|38.9
17186|MAN?SA|1993|8|41.5
17186|MAN?SA|1993|9|38.2
17186|MAN?SA|1993|10|33.5
17186|MAN?SA|1993|11|26.8
17186|MAN?SA|1993|12|18.9
17186|MAN?SA|1993|13|41.5
17186|MAN?SA|1994|1|19.2
17186|MAN?SA|1994|2|19.8
17186|MAN?SA|1994|3|23.0
17186|MAN?SA|1994|4|30.2
17186|MAN?SA|1994|5|37.8
17186|MAN?SA|1994|6|39.2
17186|MAN?SA|1994|7|39.7
17186|MAN?SA|1994|8|43.0
17186|MAN?SA|1994|9|38.7
17186|MAN?SA|1994|10|34.9
17186|MAN?SA|1994|11|25.6
17186|MAN?SA|1994|12|16.8
17186|MAN?SA|1994|13|43.0
17186|MAN?SA|1995|1|20.7
17186|MAN?SA|1995|2|22.2
17186|MAN?SA|1995|3|22.6
17186|MAN?SA|1995|4|26.8
17186|MAN?SA|1995|5|34.4
17186|MAN?SA|1995|6|39.3
17186|MAN?SA|1995|7|39.2
17186|MAN?SA|1995|8|38.0
17186|MAN?SA|1995|9|36.7
17186|MAN?SA|1995|10|28.2
17186|MAN?SA|1995|11|22.9
17186|MAN?SA|1995|12|21.7
17186|MAN?SA|1995|13|39.3
17186|MAN?SA|1996|1|16.2
17186|MAN?SA|1996|2|21.7
17186|MAN?SA|1996|3|22.3
17186|MAN?SA|1996|4|27.4
17186|MAN?SA|1996|5|35.9
17186|MAN?SA|1996|6|41.5
17186|MAN?SA|1996|7|42.7
17186|MAN?SA|1996|8|38.4
17186|MAN?SA|1996|9|34.2
17186|MAN?SA|1996|10|27.6
17186|MAN?SA|1996|11|22.2
17186|MAN?SA|1996|12|22.8
17186|MAN?SA|1996|13|42.7
17186|MAN?SA|1997|1|19.2
17186|MAN?SA|1997|2|19.8
17186|MAN?SA|1997|3|20.0
17186|MAN?SA|1997|4|26.8
17186|MAN?SA|1997|5|35.5
17186|MAN?SA|1997|6|41.3
17186|MAN?SA|1997|7|41.6
17186|MAN?SA|1997|8|36.9
17186|MAN?SA|1997|9|34.4
17186|MAN?SA|1997|10|31.2
17186|MAN?SA|1997|11|22.0
17186|MAN?SA|1997|12|18.5
17186|MAN?SA|1997|13|41.6
17186|MAN?SA|1998|1|16.0
17186|MAN?SA|1998|2|20.2
17186|MAN?SA|1998|3|20.1
17186|MAN?SA|1998|4|32.7
17186|MAN?SA|1998|5|31.5
17186|MAN?SA|1998|6|37.5
17186|MAN?SA|1998|7|42.2
17186|MAN?SA|1998|8|40.8
17186|MAN?SA|1998|9|35.0
17186|MAN?SA|1998|10|31.7
17186|MAN?SA|1998|11|24.3
17186|MAN?SA|1998|12|19.8
17186|MAN?SA|1998|13|42.2
17186|MAN?SA|1999|1|18.0
17186|MAN?SA|1999|2|18.6
17186|MAN?SA|1999|3|22.6
17186|MAN?SA|1999|4|29.9
17186|MAN?SA|1999|5|34.0
17186|MAN?SA|1999|6|37.3
17186|MAN?SA|1999|7|41.0
17186|MAN?SA|1999|8|41.8
17186|MAN?SA|1999|9|35.7
17186|MAN?SA|1999|10|33.2
17186|MAN?SA|1999|11|25.3
17186|MAN?SA|1999|12|20.2
17186|MAN?SA|1999|13|41.8
17186|MAN?SA|2000|1|17.6
17186|MAN?SA|2000|2|16.3
17186|MAN?SA|2000|3|25.1
17186|MAN?SA|2000|4|30.4
17186|MAN?SA|2000|5|32.7
17186|MAN?SA|2000|6|40.0
17186|MAN?SA|2000|7|45.1
17186|MAN?SA|2000|8|39.3
17186|MAN?SA|2000|9|38.0
17186|MAN?SA|2000|10|31.5
17186|MAN?SA|2000|11|27.1
17186|MAN?SA|2000|12|20.2
17186|MAN?SA|2000|13|45.1
17186|MAN?SA|2001|1|19.5
17186|MAN?SA|2001|2|22.2
17186|MAN?SA|2001|3|31.6
17186|MAN?SA|2001|4|31.6
17186|MAN?SA|2001|5|35.2
17186|MAN?SA|2001|6|41.1
17186|MAN?SA|2001|7|41.0
17186|MAN?SA|2001|8|42.1
17186|MAN?SA|2001|9|37.2
17186|MAN?SA|2001|10|32.4
17186|MAN?SA|2001|11|24.5
17186|MAN?SA|2001|12|19.0
17186|MAN?SA|2001|13|42.1
17186|MAN?SA|2002|1|17.4
17186|MAN?SA|2002|2|20.5
17186|MAN?SA|2002|3|25.8
17186|MAN?SA|2002|4|27.4
17186|MAN?SA|2002|5|32.9
17186|MAN?SA|2002|6|38.9
17186|MAN?SA|2002|7|40.6
17186|MAN?SA|2002|8|42.1
17186|MAN?SA|2002|9|32.0
17186|MAN?SA|2002|10|26.6
17186|MAN?SA|2002|11|24.0
17186|MAN?SA|2002|12|16.8
17186|MAN?SA|2002|13|42.1
17186|MAN?SA|2003|1|19.9
17186|MAN?SA|2003|2|17.2
17186|MAN?SA|2003|3|21.7
17186|MAN?SA|2003|4|27.8
17186|MAN?SA|2003|5|35.0
17186|MAN?SA|2003|6|39.1
17186|MAN?SA|2003|7|41.8
17186|MAN?SA|2003|8|41.2
17186|MAN?SA|2003|9|40.3
17186|MAN?SA|2003|10|34.6
17186|MAN?SA|2003|11|26.2
17186|MAN?SA|2003|12|16.0
17186|MAN?SA|2003|13|41.8
17186|MAN?SA|2004|1|18.4
17186|MAN?SA|2004|2|24.8
17186|MAN?SA|2004|3|27.1
17186|MAN?SA|2004|4|30.0
17186|MAN?SA|2004|5|30.6
17186|MAN?SA|2004|6|37.8
17186|MAN?SA|2004|7|40.3
17186|MAN?SA|2004|8|40.4
17186|MAN?SA|2004|9|37.0
17186|MAN?SA|2004|10|32.4
17186|MAN?SA|2004|11|28.7
17186|MAN?SA|2004|12|18.1
17186|MAN?SA|2004|13|40.4
17186|MAN?SA|2005|1|19.3
17186|MAN?SA|2005|2|17.8
17186|MAN?SA|2005|3|23.7
17186|MAN?SA|2005|4|30.6
17186|MAN?SA|2005|5|34.8
17186|MAN?SA|2005|6|35.8
17186|MAN?SA|2005|7|40.5
17186|MAN?SA|2005|8|40.4
17186|MAN?SA|2005|9|35.5
17186|MAN?SA|2005|10|28.4
17186|MAN?SA|2005|11|22.0
17186|MAN?SA|2005|12|25.9
17186|MAN?SA|2005|13|40.5
17186|MAN?SA|2006|1|14.5
17186|MAN?SA|2006|2|19.4
17186|MAN?SA|2006|3|23.0
17186|MAN?SA|2006|4|28.7
17186|MAN?SA|2006|5|36.9
17186|MAN?SA|2006|6|38.1
17186|MAN?SA|2006|7|37.6
17186|MAN?SA|2006|8|42.0
17186|MAN?SA|2006|9|35.7
17186|MAN?SA|2006|10|31.1
17186|MAN?SA|2006|11|22.4
17186|MAN?SA|2006|12|15.7
17186|MAN?SA|2006|13|42.0
17186|MAN?SA|2007|1|19.7
17186|MAN?SA|2007|2|18.8
17186|MAN?SA|2007|3|24.7
17186|MAN?SA|2007|4|27.7
17186|MAN?SA|2007|5|36.3
17186|MAN?SA|2007|6|42.0
17186|MAN?SA|2007|7|45.5
17186|MAN?SA|2007|8|41.4
17186|MAN?SA|2007|9|42.4
17186|MAN?SA|2007|10|32.4
17186|MAN?SA|2007|11|27.1
17186|MAN?SA|2007|12|18.1
17186|MAN?SA|2007|13|45.5
17186|MAN?SA|2008|1|15.5
17186|MAN?SA|2008|2|22.4
17186|MAN?SA|2008|3|24.8
17186|MAN?SA|2008|4|32.7
17186|MAN?SA|2008|5|35.3
17186|MAN?SA|2008|6|40.1
17186|MAN?SA|2008|7|40.4
17186|MAN?SA|2008|8|40.9
17186|MAN?SA|2008|9|38.4
17186|MAN?SA|2008|10|28.9
17186|MAN?SA|2008|11|28.0
17186|MAN?SA|2008|12|23.1
17186|MAN?SA|2008|13|40.9
17186|MAN?SA|2009|1|20.0
17186|MAN?SA|2009|2|21.0
17186|MAN?SA|2009|3|27.8
17186|MAN?SA|2009|4|27.2
17186|MAN?SA|2009|5|33.6
17186|MAN?SA|2009|6|37.3
17186|MAN?SA|2009|7|40.7
17186|MAN?SA|2009|8|38.8
17186|MAN?SA|2009|9|37.1
17186|MAN?SA|2009|10|31.2
17186|MAN?SA|2009|11|24.4
17186|MAN?SA|2009|12|21.1
17186|MAN?SA|2009|13|40.7
17186|MAN?SA|2010|1|24.0
17186|MAN?SA|2010|2|26.4
17186|MAN?SA|2010|3|24.2
17186|MAN?SA|2010|4|29.0
17186|MAN?SA|2010|5|36.1
17186|MAN?SA|2010|6|39.3
17186|MAN?SA|2010|7|38.0
17186|MAN?SA|2010|8|42.8
17186|MAN?SA|2010|9|36.0
17186|MAN?SA|2010|10|27.1
17186|MAN?SA|2010|11|26.1
17186|MAN?SA|2010|12|24.7
17186|MAN?SA|2010|13|42.8
17186|MAN?SA|2011|1|16.5
17186|MAN?SA|2011|2|19.4
17186|MAN?SA|2011|3|22.7
17186|MAN?SA|2011|4|24.6
17186|MAN?SA|2011|5|31.1
