Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_NEM
17186|MAN?SA|1983|9|22.0
17186|MAN?SA|1983|10|29.0
17186|MAN?SA|1983|11|37.0
17186|MAN?SA|1983|12|44.0
17186|MAN?SA|1983|13|18.0
17186|MAN?SA|1984|1|44.0
17186|MAN?SA|1984|2|47.0
17186|MAN?SA|1984|3|17.0
17186|MAN?SA|1984|4|24.0
17186|MAN?SA|1984|5|17.0
17186|MAN?SA|1984|6|16.0
17186|MAN?SA|1984|7|13.0
17186|MAN?SA|1984|8|25.0
17186|MAN?SA|1984|9|19.0
17186|MAN?SA|1984|10|22.0
17186|MAN?SA|1984|11|32.0
17186|MAN?SA|1984|12|29.0
17186|MAN?SA|1984|13|13.0
17186|MAN?SA|1985|1|40.0
17186|MAN?SA|1985|2|34.0
17186|MAN?SA|1985|3|36.0
17186|MAN?SA|1985|4|21.0
17186|MAN?SA|1985|5|22.0
17186|MAN?SA|1985|6|16.0
17186|MAN?SA|1985|7|16.0
17186|MAN?SA|1985|8|18.0
17186|MAN?SA|1985|9|16.0
17186|MAN?SA|1985|10|19.0
17186|MAN?SA|1985|11|35.0
17186|MAN?SA|1985|12|42.0
17186|MAN?SA|1985|13|16.0
17186|MAN?SA|1986|1|37.0
17186|MAN?SA|1986|2|39.0
17186|MAN?SA|1986|3|37.0
17186|MAN?SA|1986|4|25.0
17186|MAN?SA|1986|5|18.0
17186|MAN?SA|1986|6|24.0
17186|MAN?SA|1986|7|23.0
17186|MAN?SA|1986|8|16.0
17186|MAN?SA|1986|9|19.0
17186|MAN?SA|1986|10|26.0
17186|MAN?SA|1986|11|32.0
17186|MAN?SA|1986|12|42.0
17186|MAN?SA|1986|13|16.0
17186|MAN?SA|1987|1|44.0
17186|MAN?SA|1987|2|30.0
17186|MAN?SA|1987|3|35.0
17186|MAN?SA|1987|4|29.0
17186|MAN?SA|1987|5|24.0
17186|MAN?SA|1987|6|23.0
17186|MAN?SA|1987|7|18.0
17186|MAN?SA|1987|8|19.0
17186|MAN?SA|1987|9|20.0
17186|MAN?SA|1987|10|26.0
17186|MAN?SA|1987|11|50.0
17186|MAN?SA|1987|12|42.0
17186|MAN?SA|1987|13|18.0
17186|MAN?SA|1988|1|29.0
17186|MAN?SA|1988|2|41.0
17186|MAN?SA|1988|3|34.0
17186|MAN?SA|1988|4|23.0
17186|MAN?SA|1988|5|26.0
17186|MAN?SA|1988|6|23.0
17186|MAN?SA|1988|7|16.0
17186|MAN?SA|1988|8|17.0
17186|MAN?SA|1988|9|20.0
17186|MAN?SA|1988|10|32.0
17186|MAN?SA|1988|11|34.0
17186|MAN?SA|1988|12|45.0
17186|MAN?SA|1988|13|16.0
17186|MAN?SA|1989|1|35.0
17186|MAN?SA|1989|2|29.0
17186|MAN?SA|1989|3|29.0
17186|MAN?SA|1989|4|18.0
17186|MAN?SA|1989|5|19.0
17186|MAN?SA|1989|6|23.0
17186|MAN?SA|1989|7|18.0
17186|MAN?SA|1989|8|22.0
17186|MAN?SA|1989|9|24.0
17186|MAN?SA|1989|10|29.0
17186|MAN?SA|1989|11|35.0
17186|MAN?SA|1989|12|41.0
17186|MAN?SA|1989|13|18.0
17186|MAN?SA|1990|1|40.0
17186|MAN?SA|1990|2|37.0
17186|MAN?SA|1990|3|20.0
17186|MAN?SA|1990|4|22.0
17186|MAN?SA|1990|5|15.0
17186|MAN?SA|1990|6|15.0
17186|MAN?SA|1990|7|17.0
17186|MAN?SA|1990|8|19.0
17186|MAN?SA|1990|9|20.0
17186|MAN?SA|1990|10|22.0
17186|MAN?SA|1990|11|30.0
17186|MAN?SA|1990|12|35.0
17186|MAN?SA|1990|13|15.0
17186|MAN?SA|1991|1|40.0
17186|MAN?SA|1991|2|34.0
17186|MAN?SA|1991|3|26.0
17186|MAN?SA|1991|4|24.0
17186|MAN?SA|1991|5|19.0
17186|MAN?SA|1991|6|18.0
17186|MAN?SA|1991|7|23.0
17186|MAN?SA|1991|8|26.0
17186|MAN?SA|1991|9|18.0
17186|MAN?SA|1991|10|23.0
17186|MAN?SA|1991|11|37.0
17186|MAN?SA|1991|12|44.0
17186|MAN?SA|1991|13|18.0
17186|MAN?SA|1992|1|36.0
17186|MAN?SA|1992|2|29.0
17186|MAN?SA|1992|3|29.0
17186|MAN?SA|1992|4|15.0
17186|MAN?SA|1992|5|20.0
17186|MAN?SA|1992|6|17.0
17186|MAN?SA|1992|7|16.0
17186|MAN?SA|1992|8|19.0
17186|MAN?SA|1992|9|21.0
17186|MAN?SA|1992|10|15.0
17186|MAN?SA|1992|11|30.0
17186|MAN?SA|1992|12|46.0
17186|MAN?SA|1992|13|15.0
17186|MAN?SA|1993|1|38.0
17186|MAN?SA|1993|2|27.0
17186|MAN?SA|1993|3|20.0
17186|MAN?SA|1993|4|22.0
17186|MAN?SA|1993|5|26.0
17186|MAN?SA|1993|6|12.0
17186|MAN?SA|1993|7|17.0
17186|MAN?SA|1993|8|9.0
17186|MAN?SA|1993|9|17.0
17186|MAN?SA|1993|10|25.0
17186|MAN?SA|1993|11|24.0
17186|MAN?SA|1993|12|49.0
17186|MAN?SA|1993|13|9.0
17186|MAN?SA|1994|1|37.0
17186|MAN?SA|1994|2|37.0
17186|MAN?SA|1994|3|25.0
17186|MAN?SA|1994|4|23.0
17186|MAN?SA|1994|5|18.0
17186|MAN?SA|1994|6|10.0
17186|MAN?SA|1994|7|16.0
17186|MAN?SA|1994|8|17.0
17186|MAN?SA|1994|9|19.0
17186|MAN?SA|1994|10|24.0
17186|MAN?SA|1994|11|30.0
17186|MAN?SA|1994|12|49.0
17186|MAN?SA|1994|13|10.0
17186|MAN?SA|1995|1|44.0
17186|MAN?SA|1995|2|39.0
17186|MAN?SA|1995|3|37.0
17186|MAN?SA|1995|4|31.0
17186|MAN?SA|1995|5|20.0
17186|MAN?SA|1995|6|20.0
17186|MAN?SA|1995|7|21.0
17186|MAN?SA|1995|8|17.0
17186|MAN?SA|1995|9|19.0
17186|MAN?SA|1995|10|27.0
17186|MAN?SA|1995|11|36.0
17186|MAN?SA|1995|12|36.0
17186|MAN?SA|1995|13|17.0
17186|MAN?SA|1996|1|47.0
17186|MAN?SA|1996|2|37.0
17186|MAN?SA|1996|3|37.0
17186|MAN?SA|1996|4|28.0
17186|MAN?SA|1996|5|24.0
17186|MAN?SA|1996|6|19.0
17186|MAN?SA|1996|7|19.0
17186|MAN?SA|1996|8|23.0
17186|MAN?SA|1996|9|24.0
17186|MAN?SA|1996|10|30.0
17186|MAN?SA|1996|11|32.0
17186|MAN?SA|1996|12|31.0
17186|MAN?SA|1996|13|19.0
17186|MAN?SA|1997|1|40.0
17186|MAN?SA|1997|2|32.0
17186|MAN?SA|1997|3|26.0
17186|MAN?SA|1997|4|26.0
17186|MAN?SA|1997|5|23.0
17186|MAN?SA|1997|6|20.0
17186|MAN?SA|1997|7|17.0
17186|MAN?SA|1997|8|22.0
17186|MAN?SA|1997|9|23.0
17186|MAN?SA|1997|10|30.0
17186|MAN?SA|1997|11|44.0
17186|MAN?SA|1997|12|43.0
17186|MAN?SA|1997|13|17.0
17186|MAN?SA|1998|1|47.0
17186|MAN?SA|1998|2|33.0
17186|MAN?SA|1998|3|32.0
17186|MAN?SA|1998|4|20.0
17186|MAN?SA|1998|5|20.0
17186|MAN?SA|1998|6|20.0
17186|MAN?SA|1998|7|20.0
17186|MAN?SA|1998|8|20.0
17186|MAN?SA|1998|9|21.0
17186|MAN?SA|1998|10|27.0
17186|MAN?SA|1998|11|44.0
17186|MAN?SA|1998|12|53.0
17186|MAN?SA|1998|13|20.0
17186|MAN?SA|1999|1|51.0
17186|MAN?SA|1999|2|50.0
17186|MAN?SA|1999|3|34.0
17186|MAN?SA|1999|4|29.0
17186|MAN?SA|1999|5|22.0
17186|MAN?SA|1999|6|23.0
17186|MAN?SA|1999|7|18.0
17186|MAN?SA|1999|8|17.0
17186|MAN?SA|1999|9|21.0
17186|MAN?SA|1999|10|22.0
17186|MAN?SA|1999|11|33.0
17186|MAN?SA|1999|12|45.0
17186|MAN?SA|1999|13|17.0
17186|MAN?SA|2000|1|44.0
17186|MAN?SA|2000|2|37.0
17186|MAN?SA|2000|3|37.0
17186|MAN?SA|2000|4|24.0
17186|MAN?SA|2000|5|26.0
17186|MAN?SA|2000|6|22.0
17186|MAN?SA|2000|7|14.0
17186|MAN?SA|2000|8|23.0
17186|MAN?SA|2000|9|24.0
17186|MAN?SA|2000|10|24.0
17186|MAN?SA|2000|11|27.0
17186|MAN?SA|2000|12|43.0
17186|MAN?SA|2000|13|14.0
17186|MAN?SA|2001|1|43.0
17186|MAN?SA|2001|2|30.0
17186|MAN?SA|2001|3|24.0
17186|MAN?SA|2001|4|31.0
17186|MAN?SA|2001|5|22.0
17186|MAN?SA|2001|6|16.0
17186|MAN?SA|2001|7|22.0
17186|MAN?SA|2001|8|23.0
17186|MAN?SA|2001|9|22.0
17186|MAN?SA|2001|10|26.0
17186|MAN?SA|2001|11|33.0
17186|MAN?SA|2001|12|51.0
17186|MAN?SA|2001|13|16.0
17186|MAN?SA|2002|1|42.0
17186|MAN?SA|2002|2|36.0
17186|MAN?SA|2002|3|43.0
17186|MAN?SA|2002|4|35.0
17186|MAN?SA|2002|5|25.0
17186|MAN?SA|2002|6|21.0
17186|MAN?SA|2002|7|20.0
17186|MAN?SA|2002|8|27.0
17186|MAN?SA|2002|9|32.0
17186|MAN?SA|2002|10|35.0
17186|MAN?SA|2002|11|41.0
17186|MAN?SA|2002|12|43.0
17186|MAN?SA|2002|13|20.0
17186|MAN?SA|2003|1|41.0
17186|MAN?SA|2003|2|42.0
17186|MAN?SA|2003|3|27.0
17186|MAN?SA|2003|4|30.0
17186|MAN?SA|2003|5|26.0
17186|MAN?SA|2003|6|21.0
17186|MAN?SA|2003|7|20.0
17186|MAN?SA|2003|8|17.0
17186|MAN?SA|2003|9|23.0
17186|MAN?SA|2003|10|21.0
17186|MAN?SA|2003|11|33.0
17186|MAN?SA|2003|12|50.0
17186|MAN?SA|2003|13|17.0
17186|MAN?SA|2004|1|45.0
17186|MAN?SA|2004|2|28.0
17186|MAN?SA|2004|3|26.0
17186|MAN?SA|2004|4|25.0
17186|MAN?SA|2004|5|26.0
17186|MAN?SA|2004|6|24.0
17186|MAN?SA|2004|7|24.0
17186|MAN?SA|2004|8|23.0
17186|MAN?SA|2004|9|25.0
17186|MAN?SA|2004|10|25.0
17186|MAN?SA|2004|11|31.0
17186|MAN?SA|2004|12|32.0
17186|MAN?SA|2004|13|23.0
17186|MAN?SA|2005|1|44.0
17186|MAN?SA|2005|2|34.0
17186|MAN?SA|2005|3|25.0
17186|MAN?SA|2005|4|27.0
17186|MAN?SA|2005|5|26.0
17186|MAN?SA|2005|6|29.0
17186|MAN?SA|2005|7|14.0
17186|MAN?SA|2005|8|32.0
17186|MAN?SA|2005|9|30.0
17186|MAN?SA|2005|10|32.0
17186|MAN?SA|2005|11|37.0
17186|MAN?SA|2005|12|39.0
17186|MAN?SA|2005|13|14.0
17186|MAN?SA|2006|1|39.0
17186|MAN?SA|2006|2|35.0
17186|MAN?SA|2006|3|25.0
17186|MAN?SA|2006|4|13.0
17186|MAN?SA|2006|5|12.0
17186|MAN?SA|2006|6|9.0
17186|MAN?SA|2006|7|11.0
17186|MAN?SA|2006|8|10.0
17186|MAN?SA|2006|9|11.0
17186|MAN?SA|2006|10|26.0
17186|MAN?SA|2006|11|24.0
17186|MAN?SA|2006|12|39.0
17186|MAN?SA|2006|13|9.0
17186|MAN?SA|2007|1|31.0
17186|MAN?SA|2007|2|38.0
17186|MAN?SA|2007|3|19.0
17186|MAN?SA|2007|4|21.0
17186|MAN?SA|2007|5|15.0
17186|MAN?SA|2007|6|12.0
17186|MAN?SA|2007|7|5.0
17186|MAN?SA|2007|8|10.0
17186|MAN?SA|2007|9|7.0
17186|MAN?SA|2007|10|14.0
17186|MAN?SA|2007|11|26.0
17186|MAN?SA|2007|12|36.0
17186|MAN?SA|2007|13|5.0
17186|MAN?SA|2008|1|30.0
17186|MAN?SA|2008|2|16.0
17186|MAN?SA|2008|3|16.0
17186|MAN?SA|2008|4|13.0
17186|MAN?SA|2008|5|8.0
17186|MAN?SA|2008|6|7.0
17186|MAN?SA|2008|7|9.0
17186|MAN?SA|2008|8|8.0
17186|MAN?SA|2008|9|12.0
17186|MAN?SA|2008|10|21.0
17186|MAN?SA|2008|11|30.0
17186|MAN?SA|2008|12|19.0
17186|MAN?SA|2008|13|7.0
17186|MAN?SA|2009|1|24.0
17186|MAN?SA|2009|2|25.0
17186|MAN?SA|2009|3|27.0
17186|MAN?SA|2009|4|21.0
17186|MAN?SA|2009|5|13.0
17186|MAN?SA|2009|6|12.0
17186|MAN?SA|2009|7|13.0
17186|MAN?SA|2009|8|7.0
17186|MAN?SA|2009|9|10.0
17186|MAN?SA|2009|10|19.0
17186|MAN?SA|2009|11|34.0
17186|MAN?SA|2009|12|39.0
17186|MAN?SA|2009|13|7.0
17186|MAN?SA|2010|1|26.0
17186|MAN?SA|2010|2|25.0
17186|MAN?SA|2010|3|16.0
17186|MAN?SA|2010|4|15.0
17186|MAN?SA|2010|5|9.0
17186|MAN?SA|2010|6|13.0
17186|MAN?SA|2010|7|17.0
17186|MAN?SA|2010|8|7.0
17186|MAN?SA|2010|9|10.0
17186|MAN?SA|2010|10|13.0
17186|MAN?SA|2010|11|20.0
17186|MAN?SA|2010|12|17.0
17186|MAN?SA|2010|13|7.0
17186|MAN?SA|2011|1|36.0
17186|MAN?SA|2011|2|19.0
17186|MAN?SA|2011|3|9.0
17186|MAN?SA|2011|4|17.0
17186|MAN?SA|2011|5|11.0
17186|MAN?SA|2011|6|10.0
17186|MAN?SA|2011|7|8.0
17186|MAN?SA|2011|8|8.0
17186|MAN?SA|2011|9|5.0
17186|MAN?SA|2011|10|8.0
17186|MAN?SA|2011|11|19.0
17186|MAN?SA|2011|12|25.0
17186|MAN?SA|2011|13|5.0
17186|MAN?SA|2012|1|25.0
17186|MAN?SA|2012|2|20.0
17186|MAN?SA|2012|3|15.0
17186|MAN?SA|2012|4|6.0
17186|MAN?SA|2012|5|11.0
17186|MAN?SA|2012|6|4.0
17186|MAN?SA|2012|7|6.0
17186|MAN?SA|2012|8|3.0
17186|MAN?SA|2012|9|9.0
17186|MAN?SA|2012|10|16.0
17186|MAN?SA|2012|11|26.0
17186|MAN?SA|2012|12|23.0
17186|MAN?SA|2012|13|3.0
17186|MAN?SA|2013|1|32.0
17186|MAN?SA|2013|2|24.0
17186|MAN?SA|2013|3|9.0
17186|MAN?SA|2013|4|8.0
17186|MAN?SA|2013|5|6.0
17186|MAN?SA|2013|6|7.0
17186|MAN?SA|2013|7|4.0
17186|MAN?SA|2013|8|5.0
17186|MAN?SA|2013|9|8.0
17186|MAN?SA|2013|10|22.0
17186|MAN?SA|2013|11|30.0
17186|MAN?SA|2013|12|34.0
17186|MAN?SA|2013|13|4.0
17186|MAN?SA|2014|1|42.0
17186|MAN?SA|2014|2|31.0
17186|MAN?SA|2014|3|22.0
17186|MAN?SA|2014|4|18.0
17186|MAN?SA|2014|5|17.0
17186|MAN?SA|2014|6|10.0
17186|MAN?SA|2014|7|15.0
17186|MAN?SA|2014|8|13.0
17186|MAN?SA|2014|9|14.0
17186|MAN?SA|2014|10|19.0
17186|MAN?SA|2014|11|35.0
17186|MAN?SA|2014|12|37.0
17186|MAN?SA|2014|13|10.0
17186|MAN?SA|2015|1|28.0
17186|MAN?SA|2015|2|32.0
17186|MAN?SA|2015|3|26.0
17186|MAN?SA|2015|4|17.0
17186|MAN?SA|2015|5|11.0
17186|MAN?SA|2015|6|21.0
17186|MAN?SA|2015|7|16.0
17186|MAN?SA|2015|8|18.0
17186|MAN?SA|2015|9|11.0
17186|MAN?SA|2015|10|34.0
17186|MAN?SA|2015|11|27.0
17186|MAN?SA|2015|12|34.0
17186|MAN?SA|2015|13|11.0
17186|MAN?SA|2016|1|32.0
