Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_SICAKLIK_?C
17186|MAN?SA|2004|4|15.2
17186|MAN?SA|2004|5|19.7
17186|MAN?SA|2004|6|25.6
17186|MAN?SA|2004|7|28.4
17186|MAN?SA|2004|8|27.5
17186|MAN?SA|2004|9|23.8
17186|MAN?SA|2004|10|19.8
17186|MAN?SA|2004|11|11.8
17186|MAN?SA|2004|12|8.0
17186|MAN?SA|2004|13|17.1
17186|MAN?SA|2005|1|7.3
17186|MAN?SA|2005|2|7.0
17186|MAN?SA|2005|3|10.4
17186|MAN?SA|2005|4|15.2
17186|MAN?SA|2005|5|20.9
17186|MAN?SA|2005|6|24.2
17186|MAN?SA|2005|7|28.9
17186|MAN?SA|2005|8|28.6
17186|MAN?SA|2005|9|23.5
17186|MAN?SA|2005|10|16.4
17186|MAN?SA|2005|11|10.9
17186|MAN?SA|2005|12|9.5
17186|MAN?SA|2005|13|17.0
17186|MAN?SA|2006|1|4.1
17186|MAN?SA|2006|2|6.9
17186|MAN?SA|2006|3|11.1
17186|MAN?SA|2006|4|16.5
17186|MAN?SA|2006|5|21.0
17186|MAN?SA|2006|6|25.2
17186|MAN?SA|2006|7|27.8
17186|MAN?SA|2006|8|29.7
17186|MAN?SA|2006|9|23.6
17186|MAN?SA|2006|10|18.0
17186|MAN?SA|2006|11|9.8
17186|MAN?SA|2006|12|6.4
17186|MAN?SA|2006|13|16.7
17186|MAN?SA|2007|1|7.5
17186|MAN?SA|2007|2|8.3
17186|MAN?SA|2007|3|11.7
17186|MAN?SA|2007|4|13.9
17186|MAN?SA|2007|5|21.9
17186|MAN?SA|2007|6|27.3
17186|MAN?SA|2007|7|29.5
17186|MAN?SA|2007|8|29.5
17186|MAN?SA|2007|9|23.8
17186|MAN?SA|2007|10|18.7
17186|MAN?SA|2007|11|11.7
17186|MAN?SA|2007|12|6.5
17186|MAN?SA|2007|13|17.6
17186|MAN?SA|2008|1|4.2
17186|MAN?SA|2008|2|6.7
17186|MAN?SA|2008|3|14.1
17186|MAN?SA|2008|4|16.5
17186|MAN?SA|2008|5|20.6
17186|MAN?SA|2008|6|26.9
17186|MAN?SA|2008|7|28.8
17186|MAN?SA|2008|8|29.7
17186|MAN?SA|2008|9|23.5
17186|MAN?SA|2008|10|18.3
17186|MAN?SA|2008|11|13.9
17186|MAN?SA|2008|12|8.6
17186|MAN?SA|2008|13|17.7
17186|MAN?SA|2009|1|7.6
17186|MAN?SA|2009|2|8.7
17186|MAN?SA|2009|3|10.3
17186|MAN?SA|2009|4|15.4
17186|MAN?SA|2009|5|21.0
17186|MAN?SA|2009|6|26.3
17186|MAN?SA|2009|7|29.0
17186|MAN?SA|2009|8|27.8
17186|MAN?SA|2009|9|22.8
17186|MAN?SA|2009|10|19.9
17186|MAN?SA|2009|11|11.6
17186|MAN?SA|2009|12|10.3
17186|MAN?SA|2009|13|17.6
17186|MAN?SA|2010|1|8.6
17186|MAN?SA|2010|2|11.2
17186|MAN?SA|2010|3|11.6
17186|MAN?SA|2010|4|16.1
17186|MAN?SA|2010|5|21.6
17186|MAN?SA|2010|6|24.8
17186|MAN?SA|2010|7|28.7
17186|MAN?SA|2010|8|30.7
17186|MAN?SA|2010|9|24.5
17186|MAN?SA|2010|10|16.9
17186|MAN?SA|2010|11|15.6
17186|MAN?SA|2010|12|10.7
17186|MAN?SA|2010|13|18.4
17186|MAN?SA|2011|1|5.7
17186|MAN?SA|2011|2|7.4
17186|MAN?SA|2011|3|9.8
17186|MAN?SA|2011|4|13.2
17186|MAN?SA|2011|5|18.7
17186|MAN?SA|2011|6|24.2
17186|MAN?SA|2011|7|28.8
17186|MAN?SA|2011|8|27.4
17186|MAN?SA|2011|9|25.1
17186|MAN?SA|2011|10|15.2
17186|MAN?SA|2011|11|8.5
17186|MAN?SA|2011|12|7.0
17186|MAN?SA|2011|13|16.0
17186|MAN?SA|2012|1|4.2
17186|MAN?SA|2012|2|5.0
17186|MAN?SA|2012|3|9.6
17186|MAN?SA|2012|4|16.5
17186|MAN?SA|2012|5|19.9
17186|MAN?SA|2012|6|27.2
17186|MAN?SA|2012|7|30.2
17186|MAN?SA|2012|8|28.9
17186|MAN?SA|2012|9|24.6
17186|MAN?SA|2012|10|20.9
17186|MAN?SA|2012|11|14.3
17186|MAN?SA|2012|12|8.5
