Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_NEM
17186|MAN?SA|1982|7|81.0
17186|MAN?SA|1982|8|82.0
17186|MAN?SA|1982|9|90.0
17186|MAN?SA|1982|10|98.0
17186|MAN?SA|1982|11|96.0
17186|MAN?SA|1982|12|97.0
17186|MAN?SA|1982|13|98.0
17186|MAN?SA|1983|1|96.0
17186|MAN?SA|1983|2|97.0
17186|MAN?SA|1983|3|98.0
17186|MAN?SA|1983|4|94.0
17186|MAN?SA|1983|5|96.0
17186|MAN?SA|1983|6|84.0
17186|MAN?SA|1983|7|89.0
17186|MAN?SA|1983|8|89.0
17186|MAN?SA|1983|9|96.0
17186|MAN?SA|1983|10|96.0
17186|MAN?SA|1983|11|97.0
17186|MAN?SA|1983|12|99.0
17186|MAN?SA|1983|13|99.0
17186|MAN?SA|1984|1|99.0
17186|MAN?SA|1984|2|98.0
17186|MAN?SA|1984|3|96.0
17186|MAN?SA|1984|4|95.0
17186|MAN?SA|1984|5|84.0
17186|MAN?SA|1984|6|81.0
17186|MAN?SA|1984|7|87.0
17186|MAN?SA|1984|8|79.0
17186|MAN?SA|1984|9|94.0
17186|MAN?SA|1984|10|95.0
17186|MAN?SA|1984|11|98.0
17186|MAN?SA|1984|12|97.0
17186|MAN?SA|1984|13|99.0
17186|MAN?SA|1985|1|98.0
17186|MAN?SA|1985|2|96.0
17186|MAN?SA|1985|3|96.0
17186|MAN?SA|1985|4|94.0
17186|MAN?SA|1985|5|96.0
17186|MAN?SA|1985|6|90.0
17186|MAN?SA|1985|7|81.0
17186|MAN?SA|1985|8|85.0
17186|MAN?SA|1985|9|86.0
17186|MAN?SA|1985|10|96.0
17186|MAN?SA|1985|11|96.0
17186|MAN?SA|1985|12|98.0
17186|MAN?SA|1985|13|98.0
17186|MAN?SA|1986|1|95.0
17186|MAN?SA|1986|2|96.0
17186|MAN?SA|1986|3|95.0
17186|MAN?SA|1986|4|95.0
17186|MAN?SA|1986|5|90.0
17186|MAN?SA|1986|6|94.0
17186|MAN?SA|1986|7|78.0
17186|MAN?SA|1986|8|76.0
17186|MAN?SA|1986|9|85.0
17186|MAN?SA|1986|10|97.0
17186|MAN?SA|1986|11|97.0
17186|MAN?SA|1986|12|96.0
17186|MAN?SA|1986|13|97.0
17186|MAN?SA|1987|1|96.0
17186|MAN?SA|1987|2|96.0
17186|MAN?SA|1987|3|97.0
17186|MAN?SA|1987|4|96.0
17186|MAN?SA|1987|5|90.0
17186|MAN?SA|1987|6|91.0
17186|MAN?SA|1987|7|76.0
17186|MAN?SA|1987|8|81.0
17186|MAN?SA|1987|9|84.0
17186|MAN?SA|1987|10|92.0
17186|MAN?SA|1987|11|96.0
17186|MAN?SA|1987|12|97.0
17186|MAN?SA|1987|13|97.0
17186|MAN?SA|1988|1|97.0
17186|MAN?SA|1988|2|97.0
17186|MAN?SA|1988|3|96.0
17186|MAN?SA|1988|4|95.0
17186|MAN?SA|1988|5|94.0
17186|MAN?SA|1988|6|80.0
17186|MAN?SA|1988|7|71.0
17186|MAN?SA|1988|8|74.0
17186|MAN?SA|1988|9|90.0
17186|MAN?SA|1988|10|94.0
17186|MAN?SA|1988|11|96.0
17186|MAN?SA|1988|12|97.0
17186|MAN?SA|1988|13|97.0
17186|MAN?SA|1989|1|93.0
17186|MAN?SA|1989|2|95.0
17186|MAN?SA|1989|3|97.0
17186|MAN?SA|1989|4|87.0
17186|MAN?SA|1989|5|95.0
17186|MAN?SA|1989|6|92.0
17186|MAN?SA|1989|7|78.0
17186|MAN?SA|1989|8|76.0
17186|MAN?SA|1989|9|94.0
17186|MAN?SA|1989|10|95.0
17186|MAN?SA|1989|11|95.0
17186|MAN?SA|1989|12|98.0
17186|MAN?SA|1989|13|98.0
17186|MAN?SA|1990|1|97.0
17186|MAN?SA|1990|2|97.0
17186|MAN?SA|1990|3|95.0
17186|MAN?SA|1990|4|96.0
17186|MAN?SA|1990|5|92.0
17186|MAN?SA|1990|6|88.0
17186|MAN?SA|1990|7|67.0
17186|MAN?SA|1990|8|73.0
17186|MAN?SA|1990|9|90.0
17186|MAN?SA|1990|10|96.0
17186|MAN?SA|1990|11|96.0
17186|MAN?SA|1990|12|97.0
17186|MAN?SA|1990|13|97.0
17186|MAN?SA|1991|1|98.0
17186|MAN?SA|1991|2|97.0
17186|MAN?SA|1991|3|98.0
17186|MAN?SA|1991|4|94.0
17186|MAN?SA|1991|5|96.0
17186|MAN?SA|1991|6|87.0
17186|MAN?SA|1991|7|81.0
17186|MAN?SA|1991|8|74.0
17186|MAN?SA|1991|9|85.0
17186|MAN?SA|1991|10|98.0
17186|MAN?SA|1991|11|98.0
17186|MAN?SA|1991|12|96.0
17186|MAN?SA|1991|13|98.0
17186|MAN?SA|1992|1|97.0
17186|MAN?SA|1992|2|96.0
17186|MAN?SA|1992|3|97.0
17186|MAN?SA|1992|4|94.0
17186|MAN?SA|1992|5|94.0
17186|MAN?SA|1992|6|92.0
17186|MAN?SA|1992|7|91.0
17186|MAN?SA|1992|8|81.0
17186|MAN?SA|1992|9|81.0
17186|MAN?SA|1992|10|95.0
17186|MAN?SA|1992|11|95.0
17186|MAN?SA|1992|12|96.0
17186|MAN?SA|1992|13|97.0
17186|MAN?SA|1993|1|98.0
17186|MAN?SA|1993|2|96.0
17186|MAN?SA|1993|3|96.0
17186|MAN?SA|1993|4|96.0
17186|MAN?SA|1993|5|93.0
17186|MAN?SA|1993|6|72.0
17186|MAN?SA|1993|7|70.0
17186|MAN?SA|1993|8|76.0
17186|MAN?SA|1993|9|80.0
17186|MAN?SA|1993|10|97.0
17186|MAN?SA|1993|11|97.0
17186|MAN?SA|1993|12|99.0
17186|MAN?SA|1993|13|99.0
17186|MAN?SA|1994|1|97.0
17186|MAN?SA|1994|2|97.0
17186|MAN?SA|1994|3|96.0
17186|MAN?SA|1994|4|94.0
17186|MAN?SA|1994|5|93.0
17186|MAN?SA|1994|6|79.0
17186|MAN?SA|1994|7|75.0
17186|MAN?SA|1994|8|70.0
17186|MAN?SA|1994|9|79.0
17186|MAN?SA|1994|10|97.0
17186|MAN?SA|1994|11|97.0
17186|MAN?SA|1994|12|97.0
17186|MAN?SA|1994|13|97.0
17186|MAN?SA|1995|1|100.0
17186|MAN?SA|1995|2|97.0
17186|MAN?SA|1995|3|97.0
17186|MAN?SA|1995|4|95.0
17186|MAN?SA|1995|5|92.0
17186|MAN?SA|1995|6|80.0
17186|MAN?SA|1995|7|74.0
17186|MAN?SA|1995|8|81.0
17186|MAN?SA|1995|9|93.0
17186|MAN?SA|1995|10|95.0
17186|MAN?SA|1995|11|98.0
17186|MAN?SA|1995|12|97.0
17186|MAN?SA|1995|13|100.0
17186|MAN?SA|1996|1|97.0
17186|MAN?SA|1996|2|97.0
17186|MAN?SA|1996|3|96.0
17186|MAN?SA|1996|4|97.0
17186|MAN?SA|1996|5|90.0
17186|MAN?SA|1996|6|74.0
17186|MAN?SA|1996|7|73.0
17186|MAN?SA|1996|8|76.0
17186|MAN?SA|1996|9|95.0
17186|MAN?SA|1996|10|97.0
17186|MAN?SA|1996|11|97.0
17186|MAN?SA|1996|12|96.0
17186|MAN?SA|1996|13|97.0
17186|MAN?SA|1997|1|97.0
17186|MAN?SA|1997|2|95.0
17186|MAN?SA|1997|3|97.0
17186|MAN?SA|1997|4|98.0
17186|MAN?SA|1997|5|91.0
17186|MAN?SA|1997|6|84.0
17186|MAN?SA|1997|7|82.0
17186|MAN?SA|1997|8|75.0
17186|MAN?SA|1997|9|83.0
17186|MAN?SA|1997|10|97.0
17186|MAN?SA|1997|11|98.0
17186|MAN?SA|1997|12|98.0
17186|MAN?SA|1997|13|98.0
17186|MAN?SA|1998|1|99.0
17186|MAN?SA|1998|2|98.0
17186|MAN?SA|1998|3|97.0
17186|MAN?SA|1998|4|96.0
17186|MAN?SA|1998|5|97.0
17186|MAN?SA|1998|6|80.0
17186|MAN?SA|1998|7|80.0
17186|MAN?SA|1998|8|82.0
17186|MAN?SA|1998|9|93.0
17186|MAN?SA|1998|10|97.0
17186|MAN?SA|1998|11|98.0
17186|MAN?SA|1998|12|98.0
17186|MAN?SA|1998|13|99.0
17186|MAN?SA|1999|1|98.0
17186|MAN?SA|1999|2|96.0
17186|MAN?SA|1999|3|97.0
17186|MAN?SA|1999|4|96.0
17186|MAN?SA|1999|5|80.0
17186|MAN?SA|1999|6|74.0
17186|MAN?SA|1999|7|78.0
17186|MAN?SA|1999|8|73.0
17186|MAN?SA|1999|9|81.0
17186|MAN?SA|1999|10|97.0
17186|MAN?SA|1999|11|96.0
17186|MAN?SA|1999|12|98.0
17186|MAN?SA|1999|13|98.0
17186|MAN?SA|2000|1|96.0
17186|MAN?SA|2000|2|99.0
17186|MAN?SA|2000|3|97.0
17186|MAN?SA|2000|4|97.0
17186|MAN?SA|2000|5|92.0
17186|MAN?SA|2000|6|70.0
17186|MAN?SA|2000|7|74.0
17186|MAN?SA|2000|8|71.0
17186|MAN?SA|2000|9|86.0
17186|MAN?SA|2000|10|97.0
17186|MAN?SA|2000|11|98.0
17186|MAN?SA|2000|12|97.0
17186|MAN?SA|2000|13|99.0
17186|MAN?SA|2001|1|97.0
17186|MAN?SA|2001|2|97.0
17186|MAN?SA|2001|3|98.0
17186|MAN?SA|2001|4|96.0
17186|MAN?SA|2001|5|92.0
17186|MAN?SA|2001|6|89.0
17186|MAN?SA|2001|7|68.0
17186|MAN?SA|2001|8|79.0
17186|MAN?SA|2001|9|90.0
17186|MAN?SA|2001|10|90.0
17186|MAN?SA|2001|11|98.0
17186|MAN?SA|2001|12|97.0
17186|MAN?SA|2001|13|98.0
17186|MAN?SA|2002|1|98.0
17186|MAN?SA|2002|2|97.0
17186|MAN?SA|2002|3|97.0
17186|MAN?SA|2002|4|96.0
17186|MAN?SA|2002|5|88.0
17186|MAN?SA|2002|6|80.0
17186|MAN?SA|2002|7|87.0
17186|MAN?SA|2002|8|83.0
17186|MAN?SA|2002|9|97.0
17186|MAN?SA|2002|10|97.0
17186|MAN?SA|2002|11|97.0
17186|MAN?SA|2002|12|98.0
17186|MAN?SA|2002|13|98.0
17186|MAN?SA|2003|1|97.0
17186|MAN?SA|2003|2|96.0
17186|MAN?SA|2003|3|95.0
17186|MAN?SA|2003|4|96.0
17186|MAN?SA|2003|5|87.0
17186|MAN?SA|2003|6|82.0
17186|MAN?SA|2003|7|68.0
17186|MAN?SA|2003|8|78.0
17186|MAN?SA|2003|9|91.0
17186|MAN?SA|2003|10|96.0
17186|MAN?SA|2003|11|97.0
17186|MAN?SA|2003|12|97.0
17186|MAN?SA|2003|13|97.0
17186|MAN?SA|2004|1|98.0
17186|MAN?SA|2004|2|97.0
17186|MAN?SA|2004|3|94.0
17186|MAN?SA|2004|4|93.0
17186|MAN?SA|2004|5|91.0
17186|MAN?SA|2004|6|77.0
17186|MAN?SA|2004|7|83.0
17186|MAN?SA|2004|8|77.0
17186|MAN?SA|2004|9|90.0
17186|MAN?SA|2004|10|96.0
17186|MAN?SA|2004|11|96.0
17186|MAN?SA|2004|12|97.0
17186|MAN?SA|2004|13|98.0
17186|MAN?SA|2005|1|97.0
17186|MAN?SA|2005|2|97.0
17186|MAN?SA|2005|3|96.0
17186|MAN?SA|2005|4|93.0
17186|MAN?SA|2005|5|98.0
17186|MAN?SA|2005|6|94.0
17186|MAN?SA|2005|7|88.0
17186|MAN?SA|2005|8|91.0
17186|MAN?SA|2005|9|95.0
17186|MAN?SA|2005|10|97.0
17186|MAN?SA|2005|11|100.0
17186|MAN?SA|2005|12|97.0
17186|MAN?SA|2005|13|100.0
17186|MAN?SA|2006|1|100.0
17186|MAN?SA|2006|2|99.0
17186|MAN?SA|2006|3|98.0
17186|MAN?SA|2006|4|98.0
17186|MAN?SA|2006|5|85.0
17186|MAN?SA|2006|6|85.0
17186|MAN?SA|2006|7|64.0
17186|MAN?SA|2006|8|80.0
17186|MAN?SA|2006|9|100.0
17186|MAN?SA|2006|10|99.0
17186|MAN?SA|2006|11|99.0
17186|MAN?SA|2006|12|100.0
17186|MAN?SA|2006|13|100.0
17186|MAN?SA|2007|1|99.0
17186|MAN?SA|2007|2|99.0
17186|MAN?SA|2007|3|98.0
17186|MAN?SA|2007|4|97.0
17186|MAN?SA|2007|5|84.0
17186|MAN?SA|2007|6|96.0
17186|MAN?SA|2007|7|67.0
17186|MAN?SA|2007|8|73.0
17186|MAN?SA|2007|9|70.0
17186|MAN?SA|2007|10|100.0
17186|MAN?SA|2007|11|100.0
17186|MAN?SA|2007|12|100.0
