Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_TOPRAK_NEMI_20
17860|NAZ?LL?|2010|8|10.7
17860|NAZ?LL?|2010|9|9.0
17860|NAZ?LL?|2010|10|16.3
17860|NAZ?LL?|2010|11|20.2
17860|NAZ?LL?|2010|12|21.8
17860|NAZ?LL?|2011|1|21.1
17860|NAZ?LL?|2011|2|20.2
17860|NAZ?LL?|2011|3|18.7
17860|NAZ?LL?|2011|4|17.3
17860|NAZ?LL?|2011|5|15.4
17860|NAZ?LL?|2011|6|13.0
17860|NAZ?LL?|2011|7|9.4
17860|NAZ?LL?|2011|8|7.2
17860|NAZ?LL?|2011|9|6.4
17860|NAZ?LL?|2011|10|13.8
17860|NAZ?LL?|2011|11|11.7
17860|NAZ?LL?|2011|12|16.2
17860|NAZ?LL?|2016|1|16.3
17860|NAZ?LL?|2016|2|15.4
17860|NAZ?LL?|2016|3|17.0
17860|NAZ?LL?|2016|4|13.3
17860|NAZ?LL?|2016|5|10.6
17860|NAZ?LL?|2016|6|6.5
17860|NAZ?LL?|2016|7|5.5
17860|NAZ?LL?|2016|8|6.2
17860|NAZ?LL?|2016|9|5.7
17860|NAZ?LL?|2016|10|5.0
17860|NAZ?LL?|2016|11|5.5
17860|NAZ?LL?|2016|12|11.5
17860|NAZ?LL?|2017|2|17.2
17860|NAZ?LL?|2017|3|17.2
17860|NAZ?LL?|2017|4|15.4
17860|NAZ?LL?|2017|5|15.1
17860|NAZ?LL?|2017|6|12.2
17860|NAZ?LL?|2017|7|6.6
17860|NAZ?LL?|2017|8|5.5
17860|NAZ?LL?|2017|9|4.3
17860|NAZ?LL?|2017|10|6.5
17860|NAZ?LL?|2017|11|14.9
17860|NAZ?LL?|2017|12|17.6
17860|NAZ?LL?|2018|1|18.7
17860|NAZ?LL?|2018|2|18.4
17860|NAZ?LL?|2018|3|19.5
17860|NAZ?LL?|2018|4|14.0
17860|NAZ?LL?|2018|5|11.9
17860|NAZ?LL?|2018|6|9.1
17860|NAZ?LL?|2018|7|5.7
17860|NAZ?LL?|2018|8|8.4
17860|NAZ?LL?|2018|9|6.6
17860|NAZ?LL?|2018|10|7.9
17860|NAZ?LL?|2018|11|11.3
17860|NAZ?LL?|2018|12|17.5
17860|NAZ?LL?|2019|1|19.7
17860|NAZ?LL?|2019|2|18.6
17860|NAZ?LL?|2019|3|15.7
17860|NAZ?LL?|2019|4|16.3
17860|NAZ?LL?|2019|5|13.4
17860|NAZ?LL?|2019|6|11.1
17860|NAZ?LL?|2019|7|18.3
17860|NAZ?LL?|2019|8|13.2
17860|NAZ?LL?|2019|9|10.5
17860|NAZ?LL?|2019|10|18.1
17860|NAZ?LL?|2019|11|19.6
17860|NAZ?LL?|2019|12|22.3
17860|NAZ?LL?|2020|1|20.5
17860|NAZ?LL?|2020|2|22.0
17860|NAZ?LL?|2020|3|21.2
17860|NAZ?LL?|2020|4|19.5
17860|NAZ?LL?|2020|5|13.5
17860|NAZ?LL?|2020|7|8.0
17860|NAZ?LL?|2020|9|5.8
17860|NAZ?LL?|2020|10|5.9
17860|NAZ?LL?|2020|11|8.8
17860|NAZ?LL?|2020|12|14.1
17860|NAZ?LL?|2021|1|19.4
17860|NAZ?LL?|2021|2|19.9
17860|NAZ?LL?|2021|3|20.0
17860|NAZ?LL?|2021|4|17.1
17860|NAZ?LL?|2021|5|9.8
17860|NAZ?LL?|2021|6|7.1
17862|D?NAR|2007|12|25.2
17862|D?NAR|2008|1|21.4
17862|D?NAR|2008|2|22.2
17862|D?NAR|2008|3|23.6
17862|D?NAR|2008|4|24.4
17862|D?NAR|2008|5|20.0
17862|D?NAR|2008|7|9.9
17862|D?NAR|2008|8|8.7
17862|D?NAR|2008|9|10.6
17862|D?NAR|2008|10|20.0
17862|D?NAR|2008|11|22.3
17862|D?NAR|2008|12|22.7
17862|D?NAR|2009|1|23.8
17862|D?NAR|2009|2|25.6
17862|D?NAR|2009|3|19.2
17862|D?NAR|2009|4|22.7
17862|D?NAR|2009|5|24.7
17862|D?NAR|2009|8|15.4
17862|D?NAR|2009|9|19.1
17862|D?NAR|2009|10|13.7
17862|D?NAR|2009|11|19.4
17862|D?NAR|2009|12|18.5
17862|D?NAR|2010|1|16.0
17862|D?NAR|2010|2|15.8
17862|D?NAR|2010|3|16.2
17862|D?NAR|2010|4|17.5
17862|D?NAR|2010|5|14.9
17862|D?NAR|2010|6|24.3
17862|D?NAR|2010|7|20.4
17862|D?NAR|2010|8|13.7
17862|D?NAR|2010|9|10.1
17862|D?NAR|2010|10|12.7
17862|D?NAR|2010|11|17.1
17862|D?NAR|2010|12|17.8
17862|D?NAR|2011|1|13.2
17862|D?NAR|2011|2|15.0
17862|D?NAR|2011|3|15.9
17862|D?NAR|2011|4|16.5
17862|D?NAR|2011|5|19.7
17862|D?NAR|2011|6|21.9
17862|D?NAR|2011|7|15.7
17862|D?NAR|2011|8|12.1
17862|D?NAR|2011|9|10.2
17862|D?NAR|2011|10|17.9
17862|D?NAR|2011|11|16.2
17862|D?NAR|2011|12|16.4
17862|D?NAR|2016|1|28.8
17862|D?NAR|2016|2|29.0
17862|D?NAR|2016|3|32.5
17862|D?NAR|2016|4|31.0
17862|D?NAR|2016|5|39.0
17862|D?NAR|2016|6|32.6
17862|D?NAR|2016|7|27.1
17862|D?NAR|2016|8|28.1
17862|D?NAR|2016|9|28.8
17862|D?NAR|2016|10|22.0
17862|D?NAR|2016|11|19.8
17862|D?NAR|2016|12|26.1
17862|D?NAR|2017|1|33.4
17862|D?NAR|2017|2|35.6
17862|D?NAR|2017|3|39.4
17862|D?NAR|2017|4|35.8
17862|D?NAR|2017|5|38.9
17862|D?NAR|2017|6|43.6
17862|D?NAR|2017|7|28.7
17862|D?NAR|2017|8|25.6
17862|D?NAR|2017|9|22.1
17862|D?NAR|2017|10|32.3
17862|D?NAR|2017|11|35.2
17862|D?NAR|2017|12|37.8
17862|D?NAR|2018|1|39.1
17862|D?NAR|2018|2|38.2
17862|D?NAR|2018|3|39.7
17862|D?NAR|2018|4|38.4
17862|D?NAR|2018|5|37.4
17862|D?NAR|2018|6|41.6
17862|D?NAR|2018|7|26.9
17862|D?NAR|2018|8|29.8
17862|D?NAR|2018|9|21.4
17862|D?NAR|2018|10|37.0
17862|D?NAR|2018|11|37.8
17862|D?NAR|2018|12|43.6
17862|D?NAR|2019|1|42.2
17862|D?NAR|2019|2|40.5
17862|D?NAR|2019|3|35.1
17862|D?NAR|2019|4|36.4
17862|D?NAR|2019|5|36.7
17862|D?NAR|2019|6|31.8
17862|D?NAR|2019|7|24.4
17862|D?NAR|2019|8|20.6
17862|D?NAR|2019|9|18.6
17862|D?NAR|2019|10|17.3
17862|D?NAR|2019|11|15.7
17862|D?NAR|2019|12|29.6
17862|D?NAR|2020|1|35.1
17862|D?NAR|2020|2|38.8
17862|D?NAR|2020|3|40.5
17862|D?NAR|2020|4|35.3
17862|D?NAR|2020|5|37.1
17862|D?NAR|2020|7|22.4
17862|D?NAR|2020|9|8.2
17862|D?NAR|2020|10|18.7
17862|D?NAR|2020|11|22.6
17862|D?NAR|2020|12|17.1
17862|D?NAR|2021|1|27.5
17862|D?NAR|2021|2|24.5
17862|D?NAR|2021|3|21.7
17862|D?NAR|2021|4|17.7
17862|D?NAR|2021|5|12.2
17862|D?NAR|2021|6|25.1
17884|M?LAS|2007|12|42.9
17884|M?LAS|2008|1|35.9
17884|M?LAS|2008|2|34.5
17884|M?LAS|2008|3|37.9
17884|M?LAS|2008|4|39.4
17884|M?LAS|2008|5|37.1
17884|M?LAS|2008|7|29.5
17884|M?LAS|2008|8|24.4
17884|M?LAS|2008|9|23.9
17884|M?LAS|2008|10|31.6
17884|M?LAS|2008|11|31.4
17884|M?LAS|2008|12|36.1
17884|M?LAS|2009|1|41.8
17884|M?LAS|2009|2|45.0
