Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_SICAKLIK_C
17186|MAN?SA|1983|13|-7.0
17186|MAN?SA|1984|1|-0.8
17186|MAN?SA|1984|2|0.8
17186|MAN?SA|1984|3|1.3
17186|MAN?SA|1984|4|1.9
17186|MAN?SA|1984|5|6.0
17186|MAN?SA|1984|6|13.5
17186|MAN?SA|1984|7|15.9
17186|MAN?SA|1984|8|14.4
17186|MAN?SA|1984|9|11.1
17186|MAN?SA|1984|10|2.7
17186|MAN?SA|1984|11|1.6
17186|MAN?SA|1984|12|-3.6
17186|MAN?SA|1984|13|-3.6
17186|MAN?SA|1985|1|-0.3
17186|MAN?SA|1985|2|-7.3
17186|MAN?SA|1985|3|-4.8
17186|MAN?SA|1985|4|5.0
17186|MAN?SA|1985|5|6.0
17186|MAN?SA|1985|6|13.7
17186|MAN?SA|1985|7|13.4
17186|MAN?SA|1985|8|16.3
17186|MAN?SA|1985|9|11.3
17186|MAN?SA|1985|10|3.1
17186|MAN?SA|1985|11|3.6
17186|MAN?SA|1985|12|-1.8
17186|MAN?SA|1985|13|-7.3
17186|MAN?SA|1986|1|-2.7
17186|MAN?SA|1986|2|-2.6
17186|MAN?SA|1986|3|-1.0
17186|MAN?SA|1986|4|6.2
17186|MAN?SA|1986|5|6.3
17186|MAN?SA|1986|6|15.2
17186|MAN?SA|1986|7|17.3
17186|MAN?SA|1986|8|17.6
17186|MAN?SA|1986|9|14.6
17186|MAN?SA|1986|10|5.6
17186|MAN?SA|1986|11|-0.9
17186|MAN?SA|1986|12|-2.5
17186|MAN?SA|1986|13|-2.7
17186|MAN?SA|1987|1|-6.3
17186|MAN?SA|1987|2|-1.8
17186|MAN?SA|1987|3|-5.1
17186|MAN?SA|1987|4|2.8
17186|MAN?SA|1987|5|5.6
17186|MAN?SA|1987|6|11.6
17186|MAN?SA|1987|7|15.3
17186|MAN?SA|1987|8|15.0
17186|MAN?SA|1987|9|10.9
17186|MAN?SA|1987|10|5.0
17186|MAN?SA|1987|11|1.0
17186|MAN?SA|1987|12|-3.7
17186|MAN?SA|1987|13|-6.3
17186|MAN?SA|1988|1|-3.5
17186|MAN?SA|1988|2|-4.4
17186|MAN?SA|1988|3|-1.6
17186|MAN?SA|1988|4|3.5
17186|MAN?SA|1988|5|6.8
17186|MAN?SA|1988|6|12.6
17186|MAN?SA|1988|7|18.4
17186|MAN?SA|1988|8|13.3
17186|MAN?SA|1988|9|11.1
17186|MAN?SA|1988|10|3.9
17186|MAN?SA|1988|11|-2.8
17186|MAN?SA|1988|12|-3.5
17186|MAN?SA|1988|13|-4.4
17186|MAN?SA|1989|1|-4.3
17186|MAN?SA|1989|2|-4.5
17186|MAN?SA|1989|3|2.0
17186|MAN?SA|1989|4|8.0
17186|MAN?SA|1989|5|8.9
17186|MAN?SA|1989|6|12.5
17186|MAN?SA|1989|7|18.8
17186|MAN?SA|1989|8|16.7
17186|MAN?SA|1989|9|12.6
17186|MAN?SA|1989|10|7.1
17186|MAN?SA|1989|11|-0.5
17186|MAN?SA|1989|12|-3.4
17186|MAN?SA|1989|13|-4.5
17186|MAN?SA|1990|1|-4.2
17186|MAN?SA|1990|2|-1.0
17186|MAN?SA|1990|3|0.3
17186|MAN?SA|1990|4|4.8
17186|MAN?SA|1990|5|4.0
17186|MAN?SA|1990|6|7.6
17186|MAN?SA|1990|7|19.8
17186|MAN?SA|1990|8|17.0
17186|MAN?SA|1990|9|10.9
17186|MAN?SA|1990|10|4.3
17186|MAN?SA|1990|11|0.5
17186|MAN?SA|1990|12|-1.6
17186|MAN?SA|1990|13|-4.2
17186|MAN?SA|1991|1|-3.6
17186|MAN?SA|1991|2|-6.1
17186|MAN?SA|1991|3|-2.6
17186|MAN?SA|1991|4|5.2
17186|MAN?SA|1991|5|8.5
17186|MAN?SA|1991|6|10.6
17186|MAN?SA|1991|7|18.3
17186|MAN?SA|1991|8|16.2
17186|MAN?SA|1991|9|12.8
17186|MAN?SA|1991|10|4.6
17186|MAN?SA|1991|11|0.4
17186|MAN?SA|1991|12|-3.4
17186|MAN?SA|1991|13|-6.1
17186|MAN?SA|1992|1|-5.5
17186|MAN?SA|1992|2|-6.3
17186|MAN?SA|1992|3|-1.4
17186|MAN?SA|1992|4|2.8
17186|MAN?SA|1992|5|7.3
17186|MAN?SA|1992|6|14.7
17186|MAN?SA|1992|7|14.5
17186|MAN?SA|1992|8|19.8
17186|MAN?SA|1992|9|9.5
17186|MAN?SA|1992|10|8.5
17186|MAN?SA|1992|11|-1.0
17186|MAN?SA|1992|12|-2.2
17186|MAN?SA|1992|13|-6.3
17186|MAN?SA|1993|1|-3.7
17186|MAN?SA|1993|2|-3.7
17186|MAN?SA|1993|3|-1.2
17186|MAN?SA|1993|4|2.8
17186|MAN?SA|1993|5|8.0
17186|MAN?SA|1993|6|15.4
17186|MAN?SA|1993|7|15.7
17186|MAN?SA|1993|8|17.7
17186|MAN?SA|1993|9|10.9
17186|MAN?SA|1993|10|8.5
17186|MAN?SA|1993|11|0.3
17186|MAN?SA|1993|12|-1.0
17186|MAN?SA|1993|13|-3.7
17186|MAN?SA|1994|1|-1.6
17186|MAN?SA|1994|2|-1.9
17186|MAN?SA|1994|3|-1.0
17186|MAN?SA|1994|4|3.3
17186|MAN?SA|1994|5|8.0
17186|MAN?SA|1994|6|13.0
17186|MAN?SA|1994|7|19.4
17186|MAN?SA|1994|8|18.3
17186|MAN?SA|1994|9|16.3
17186|MAN?SA|1994|10|9.3
17186|MAN?SA|1994|11|-2.0
17186|MAN?SA|1994|12|-3.6
17186|MAN?SA|1994|13|-3.6
17186|MAN?SA|1995|1|-2.1
17186|MAN?SA|1995|2|-1.8
17186|MAN?SA|1995|3|-0.3
17186|MAN?SA|1995|4|1.8
17186|MAN?SA|1995|5|6.9
17186|MAN?SA|1995|6|15.7
17186|MAN?SA|1995|7|18.8
17186|MAN?SA|1995|8|13.0
17186|MAN?SA|1995|9|12.9
17186|MAN?SA|1995|10|4.9
17186|MAN?SA|1995|11|-3.4
17186|MAN?SA|1995|12|-3.1
17186|MAN?SA|1995|13|-3.4
17186|MAN?SA|1996|1|-5.0
17186|MAN?SA|1996|2|-3.5
17186|MAN?SA|1996|3|-1.7
17186|MAN?SA|1996|4|2.3
17186|MAN?SA|1996|5|11.0
17186|MAN?SA|1996|6|14.0
17186|MAN?SA|1996|7|17.3
17186|MAN?SA|1996|8|17.6
17186|MAN?SA|1996|9|11.1
17186|MAN?SA|1996|10|2.3
17186|MAN?SA|1996|11|2.7
17186|MAN?SA|1996|12|2.2
17186|MAN?SA|1996|13|-5.0
17186|MAN?SA|1997|1|-2.9
17186|MAN?SA|1997|2|-7.4
17186|MAN?SA|1997|3|-2.3
17186|MAN?SA|1997|4|-2.0
17186|MAN?SA|1997|5|9.5
17186|MAN?SA|1997|6|10.8
17186|MAN?SA|1997|7|17.7
17186|MAN?SA|1997|8|14.8
17186|MAN?SA|1997|9|10.6
17186|MAN?SA|1997|10|4.7
17186|MAN?SA|1997|11|2.0
17186|MAN?SA|1997|12|-3.3
17186|MAN?SA|1997|13|-7.4
17186|MAN?SA|1998|1|-3.3
17186|MAN?SA|1998|2|-1.0
17186|MAN?SA|1998|3|-1.5
17186|MAN?SA|1998|4|3.6
17186|MAN?SA|1998|5|9.5
17186|MAN?SA|1998|6|14.3
17186|MAN?SA|1998|7|15.5
17186|MAN?SA|1998|8|18.1
17186|MAN?SA|1998|9|11.7
17186|MAN?SA|1998|10|4.3
17186|MAN?SA|1998|11|1.4
17186|MAN?SA|1998|12|-1.9
17186|MAN?SA|1998|13|-3.3
17186|MAN?SA|1999|1|-1.5
17186|MAN?SA|1999|2|-2.6
17186|MAN?SA|1999|3|-0.2
17186|MAN?SA|1999|4|5.7
17186|MAN?SA|1999|5|6.8
17186|MAN?SA|1999|6|15.9
17186|MAN?SA|1999|7|19.3
17186|MAN?SA|1999|8|17.3
17186|MAN?SA|1999|9|14.6
17186|MAN?SA|1999|10|8.0
17186|MAN?SA|1999|11|-2.6
17186|MAN?SA|1999|12|-1.1
17186|MAN?SA|1999|13|-2.6
17186|MAN?SA|2000|1|-5.6
17186|MAN?SA|2000|2|-2.3
17186|MAN?SA|2000|3|-2.0
17186|MAN?SA|2000|4|5.0
17186|MAN?SA|2000|5|6.3
17186|MAN?SA|2000|6|13.2
17186|MAN?SA|2000|7|17.4
17186|MAN?SA|2000|8|15.3
17186|MAN?SA|2000|9|10.3
17186|MAN?SA|2000|10|5.0
17186|MAN?SA|2000|11|2.6
17186|MAN?SA|2000|12|-1.8
17186|MAN?SA|2000|13|-5.6
17186|MAN?SA|2001|1|-2.1
17186|MAN?SA|2001|2|-2.2
17186|MAN?SA|2001|3|4.6
17186|MAN?SA|2001|4|4.8
17186|MAN?SA|2001|5|7.6
17186|MAN?SA|2001|6|12.2
17186|MAN?SA|2001|7|18.0
17186|MAN?SA|2001|8|17.2
17186|MAN?SA|2001|9|11.0
17186|MAN?SA|2001|10|4.6
17186|MAN?SA|2001|11|-2.8
17186|MAN?SA|2001|12|-4.9
17186|MAN?SA|2001|13|-4.9
17186|MAN?SA|2002|1|-4.0
17186|MAN?SA|2002|2|-1.4
17186|MAN?SA|2002|3|1.9
17186|MAN?SA|2002|4|3.6
17186|MAN?SA|2002|5|10.3
17186|MAN?SA|2002|6|13.4
17186|MAN?SA|2002|7|20.0
17186|MAN?SA|2002|8|17.8
17186|MAN?SA|2002|9|11.9
17186|MAN?SA|2002|10|3.3
17186|MAN?SA|2002|11|2.5
17186|MAN?SA|2002|12|-5.5
17186|MAN?SA|2002|13|-5.5
17186|MAN?SA|2003|1|-1.6
17186|MAN?SA|2003|2|-2.8
17186|MAN?SA|2003|3|-1.7
17186|MAN?SA|2003|4|0.8
17186|MAN?SA|2003|5|11.8
17186|MAN?SA|2003|6|14.0
17186|MAN?SA|2003|7|17.8
17186|MAN?SA|2003|8|18.6
17186|MAN?SA|2003|9|12.0
17186|MAN?SA|2003|10|4.7
17186|MAN?SA|2003|11|1.7
17186|MAN?SA|2003|12|-3.0
17186|MAN?SA|2003|13|-3.0
17186|MAN?SA|2004|1|-6.0
17186|MAN?SA|2004|2|-8.9
17186|MAN?SA|2004|3|-2.3
17186|MAN?SA|2004|4|1.6
17186|MAN?SA|2004|5|9.0
17186|MAN?SA|2004|6|14.3
17186|MAN?SA|2004|7|18.8
17186|MAN?SA|2004|8|16.9
17186|MAN?SA|2004|9|11.3
17186|MAN?SA|2004|10|9.5
17186|MAN?SA|2004|11|-3.4
17186|MAN?SA|2004|12|-5.0
17186|MAN?SA|2004|13|-8.9
17186|MAN?SA|2005|1|-2.1
17186|MAN?SA|2005|2|-3.7
17186|MAN?SA|2005|3|-3.9
17186|MAN?SA|2005|4|0.2
17186|MAN?SA|2005|5|8.4
17186|MAN?SA|2005|6|12.9
17186|MAN?SA|2005|7|16.6
17186|MAN?SA|2005|8|19.0
