algorithm,feature_combo,name,st_num,dataset,MAE,RMSE,R2,WI
SVR,7,svr_7,17886,train,0.1770033189454803,0.2220363347888501,0.9849146766177757,0.9445450772482664
SVR,7,svr_7,17924,train,0.2420499732230435,0.3541737780859368,0.9443024676677456,0.9072180551495976
SVR,7,svr_7,17860,train,0.1172380351636847,0.1499152105786902,0.993611639285452,0.9649527818886616
SVR,7,svr_7,17186,train,0.3681284965666614,0.5901683051343822,0.9100016117906262,0.8963889403499717
SVR,7,svr_7,17227,train,0.2284972243419848,0.2817613409187184,0.9800104252004886,0.9361846043307156
SVR,8,svr_8,17237,test,0.2083636392906679,0.2819507989072072,0.961166435123952,0.9169111952181
SVR,8,svr_8,17862,test,0.1959004352197524,0.2454550543485316,0.9746673904588178,0.926380360874982
SVR,8,svr_8,17884,test,0.2742659079492929,0.3821279410757134,0.9440287464582826,0.904284546841555
SVR,8,svr_8,17296,train,0.1072747784979473,0.1533704740845964,0.9911168953019702,0.9623873782550504
SVR,8,svr_8,17298,train,0.2185157269307201,0.28872892319334,0.9747679675008488,0.9319410735423992
SVR,8,svr_8,17824,train,0.1679916599701853,0.2258870631419258,0.9897059433958536,0.9565567147935422
SVR,8,svr_8,17886,train,0.1781514791982655,0.2239670692722108,0.9846511847282908,0.9441853600491532
SVR,8,svr_8,17924,train,0.2352631848681265,0.3466499070597535,0.9466437471486404,0.9098195486117638
SVR,8,svr_8,17860,train,0.1099296160658593,0.142182102765595,0.9942537052657362,0.9671375656733175
SVR,8,svr_8,17186,train,0.3464499704552481,0.5545125373867874,0.920547840228528,0.9024904377428736
SVR,8,svr_8,17227,train,0.2269188143539951,0.2881366554969777,0.979095597103422,0.9366254274444404
SVR,9,svr_9,17237,test,0.1005129388003815,0.125568148498075,0.992297715035249,0.9599186308202768
SVR,9,svr_9,17862,test,0.2000463081601881,0.2333615311633645,0.9771021607692292,0.9248223364153084
SVR,9,svr_9,17884,test,0.0633821096349979,0.0828624224894493,0.9973681405278244,0.9778804176165647
SVR,9,svr_9,17296,train,0.0542626466513242,0.0673545793775947,0.9982867706041612,0.9809744617331914
SVR,9,svr_9,17298,train,0.0989784880217346,0.1259383245253277,0.9951994889314196,0.9691721519005746
SVR,9,svr_9,17824,train,0.1602574458153939,0.2123364170571338,0.9909039507390136,0.9585568121283388
SVR,9,svr_9,17886,train,0.0800643695351689,0.1026959798308088,0.9967728926616776,0.9749159312142242
SVR,9,svr_9,17924,train,0.0593946159712628,0.074601882655805,0.997528829443764,0.9772330155212268
SVR,9,svr_9,17860,train,0.1145451437863768,0.1485952596426181,0.9937236386062456,0.9657577966717812
SVR,9,svr_9,17186,train,0.1069924713348911,0.1234522774229744,0.9960619504188012,0.969886592771348
SVR,9,svr_9,17227,train,0.1315805991768727,0.1621876753835913,0.993376669239561,0.9632517724315708
SVR,10,svr_10,17237,test,0.2133142630453045,0.2816062985038265,0.9612612744064116,0.9149370436238105
SVR,10,svr_10,17862,test,0.1740036261070273,0.2176757585661274,0.9800769372136964,0.9346092103058672
SVR,10,svr_10,17884,test,0.2838379247808181,0.3903297124236824,0.9416002930081204,0.9009440298392046
SVR,10,svr_10,17296,train,0.1146568871049585,0.1594492245652454,0.9903987874573392,0.9597990675393032
SVR,10,svr_10,17298,train,0.2062302449626682,0.2785370323961244,0.9765178671131212,0.9357675107764796
SVR,10,svr_10,17824,train,0.1500307388728156,0.1987406338015733,0.9920314890279646,0.9612014776224956
SVR,10,svr_10,17886,train,0.1372868015448908,0.1756281548775643,0.9905616777217296,0.956988213442204
SVR,10,svr_10,17924,train,0.2410397528618064,0.356609356278429,0.9435337934105648,0.90760529010193
SVR,10,svr_10,17860,train,0.1318971408071504,0.164162193089122,0.9923397256728193,0.9605705788597008
SVR,10,svr_10,17186,train,0.2876488541132091,0.4976120900456259,0.9360169682848134,0.9190402186743262
SVR,10,svr_10,17227,train,0.2094674820609448,0.2524255414275703,0.9839561963505882,0.9414992882908652
SVR,11,svr_11,17237,test,0.3886256133302771,0.4787499103186743,0.8880361013756402,0.8450284424423962
SVR,11,svr_11,17862,test,0.3842158926746831,0.4874334691173086,0.9000997297777883,0.855611166289258
SVR,11,svr_11,17884,test,0.4105129620161007,0.5150827304928679,0.8983045731800227,0.8567359885135593
SVR,11,svr_11,17296,train,0.4203958273368984,0.5185105128498372,0.8984695308153678,0.8526010544306973
SVR,11,svr_11,17298,train,0.4545750276022308,0.5728654609444346,0.9006708016707887,0.8584180241504957
SVR,11,svr_11,17824,train,1.07765909097543,1.344881280118024,0.6351017916015446,0.7213132410687134
SVR,11,svr_11,17886,train,0.4602771988373959,0.5769000811968588,0.898162500946992,0.8557957180804382
SVR,11,svr_11,17924,train,0.5241660570104854,0.6249699540514531,0.8265711184424901,0.799078076537586
SVR,11,svr_11,17860,train,0.5006175019642155,0.6537488072019546,0.8785157851985994,0.8503450628697671
SVR,11,svr_11,17186,train,0.3656489474714307,0.4636228471528044,0.9444591365814622,0.8970868181605928
SVR,11,svr_11,17227,train,0.6904699813218638,0.8167991693009611,0.8320146841954648,0.8071634559994871
SVR,12,svr_12,17237,test,0.4013618007967535,0.5046359334773076,0.8756009840086346,0.8399496551949173
SVR,12,svr_12,17862,test,0.3549913992362489,0.4550993801776366,0.9129139768755004,0.8665937690493567
SVR,12,svr_12,17884,test,0.254554674984875,0.3266754099392037,0.9590946291434704,0.9111635264770764
SVR,12,svr_12,17296,train,0.3399822465269116,0.4212094150217499,0.932999599148477,0.8807956183394996
SVR,12,svr_12,17298,train,0.2820280041861531,0.3725873036693752,0.9579827372506622,0.9121595343937192
SVR,12,svr_12,17824,train,1.1750717813810565,1.3859367124221178,0.6124831135433961,0.6961219470915536
SVR,12,svr_12,17886,train,0.3533412059911082,0.4455837419021912,0.9392473540199356,0.8892986334946819
