st_num,date,year,month,latitude,longitude,elevation,min_temp,max_temp,avg_temp,min_hum,max_hum,avg_hum,avg_ws,inc_rad,sun_duration,G,Ra,Rso,Rn,ET0
17296,1987-06-15,1987,6,36.6266,29.1238,3.0,11.6,37.0,24.3,22.0,87.0,54.5,1.3463119353022994,26.664632,11.4,0.7560000000000001,41.72019072158539,31.29264625263233,14.712074803060656,6.277458069804049
17296,1987-07-15,1987,7,36.6266,29.1238,3.0,15.6,41.5,28.55,19.0,91.0,55.0,1.4959021503358882,25.882224,11.5,0.1889999999999999,40.74015113749315,30.55755776218811,14.64272283708938,7.065057440457424
17296,1987-08-15,1987,8,36.6266,29.1238,3.0,14.5,39.5,27.0,25.0,88.0,56.5,1.4211070428190935,23.861352,11.5,-0.3010000000000001,37.05933921142589,27.796727968922102,12.80327499931848,6.371391538874637
17296,1987-09-15,1987,9,36.6266,29.1238,3.0,11.5,37.0,24.25,19.0,99.0,59.0,1.1967217202687106,19.815424000000004,9.9,-0.5529999999999999,31.176363830378104,23.3841434546134,9.784954587142348,4.955357233849583
17296,1987-10-15,1987,10,36.6266,29.1238,3.0,6.5,31.7,19.1,24.0,98.0,61.0,1.4959021503358882,14.706760000000004,7.9,-0.742,24.01578084169289,18.01327657812017,5.783573554282075,3.960486920345939
17296,1987-11-15,1987,11,36.6266,29.1238,3.0,2.7,24.6,13.65,30.0,99.0,64.5,1.0471315052351216,9.694328,5.7,-0.6300000000000001,18.281233744491463,13.712022182393266,3.01368395620486,2.1403706946964887
17296,1987-12-15,1987,12,36.6266,29.1238,3.0,-1.4,21.6,10.1,33.0,96.0,64.5,1.3463119353022994,8.121144000000001,5.1,-0.28,15.667748706345536,11.751751594681531,1.8279526431576607,2.044499584860382
17296,1988-01-15,1988,1,36.6266,29.1238,3.0,-1.0,20.3,9.65,26.0,96.0,61.0,1.121926612751916,8.907736000000002,5.1,-0.0280000000000001,17.08329571887093,12.813496786896328,2.453824983511521,1.758403239247597
17296,1988-02-15,1988,2,36.6266,29.1238,3.0,-0.3,19.7,9.7,30.0,98.0,64.0,1.4211070428190935,10.455816,4.8,-0.0105,22.067243089391603,16.551756351629063,4.348538882682346,2.246680953783984
17296,1988-03-15,1988,3,36.6266,29.1238,3.0,-0.6,19.6,9.5,38.0,97.0,67.5,1.4959021503358882,14.81136,5.3,0.3850000000000002,29.22923344439653,21.92367883730406,7.246796575669432,2.763347517136902
17296,1988-04-15,1988,4,36.6266,29.1238,3.0,3.8,26.6,15.2,37.0,97.0,67.0,1.121926612751916,19.217112000000004,7.0,0.7105,35.70551947869352,26.781281940188855,10.213096915035823,3.687052204168432
17296,1988-05-15,1988,5,36.6266,29.1238,3.0,8.6,30.7,19.65,33.0,95.0,64.0,1.271516827785505,25.037056,10.3,0.6544999999999997,40.1246394028975,30.0958870305373,13.777527827235604,5.071742175122533
17296,1988-06-15,1988,6,36.6266,29.1238,3.0,12.3,36.8,24.55,25.0,80.0,52.5,1.3463119353022994,25.77344,10.9,0.763,41.72019072158539,31.29264625263233,14.20656661428681,6.17494063556757
17296,1988-07-15,1988,7,36.6266,29.1238,3.0,16.8,44.3,30.55,19.0,82.0,50.5,1.5706972578526823,24.836224,11.4,0.1295000000000001,40.74015113749315,30.55755776218811,13.928645504946678,7.541927138466188
17296,1988-08-15,1988,8,36.6266,29.1238,3.0,13.8,39.0,26.4,21.0,90.0,55.5,1.3463119353022994,22.940872,11.1,-0.42,37.05933921142589,27.796727968922102,12.384633171598598,6.114101743935748
17296,1988-09-15,1988,9,36.6266,29.1238,3.0,12.3,36.8,24.55,19.0,98.0,58.5,1.1967217202687106,20.003704000000003,10.2,-0.4444999999999999,31.176363830378104,23.3841434546134,9.946873121177507,4.911299945031263
17296,1988-10-15,1988,10,36.6266,29.1238,3.0,6.6,33.5,20.05,28.0,96.0,62.0,1.121926612751916,14.363672,7.2,-0.9065,24.01578084169289,18.01327657812017,5.606108088926642,3.7023190015234415
17296,1988-11-15,1988,11,36.6266,29.1238,3.0,-0.1,23.3,11.6,25.0,99.0,62.0,1.271516827785505,9.070912000000002,4.8,-0.6020000000000002,18.281233744491463,13.712022182393266,2.8899870486178028,2.3317711093836744
17296,1988-12-15,1988,12,36.6266,29.1238,3.0,0.4,22.5,11.45,33.0,98.0,65.5,1.121926612751916,7.079327999999999,3.9,-0.021,15.667748706345536,11.751751594681531,1.9908719759592584,1.7915666785447386
17296,1990-01-15,1990,1,36.6266,29.1238,3.0,-1.4,19.4,9.0,21.0,95.0,58.0,1.121926612751916,9.37216,5.4,-0.5880000000000002,17.08329571887093,12.813496786896328,2.449807135694248,1.8050331360465413
17296,1990-02-15,1990,2,36.6266,29.1238,3.0,0.7,19.5,10.1,23.0,98.0,60.5,1.5706972578526823,12.167072,6.1,0.2485,22.067243089391603,16.551756351629063,4.696731381094389,2.298151096804854
17296,1990-03-15,1990,3,36.6266,29.1238,3.0,0.8,24.3,12.55,26.0,97.0,61.5,1.271516827785505,19.129248,9.1,0.4550000000000002,29.22923344439653,21.92367883730406,8.470551356471166,3.335005610822095
17296,1990-04-15,1990,4,36.6266,29.1238,3.0,5.2,28.0,16.6,22.0,97.0,59.5,1.4211070428190935,20.702432000000005,8.2,0.5529999999999999,35.70551947869352,26.781281940188855,10.8522282111399,4.287297098248466
17296,1990-05-15,1990,5,36.6266,29.1238,3.0,5.5,35.4,20.45,30.0,92.0,61.0,1.271516827785505,24.610288000000004,10.3,0.5144999999999998,40.1246394028975,30.0958870305373,13.024792120020692,5.769444640556515
17296,1990-06-15,1990,6,36.6266,29.1238,3.0,10.6,37.3,23.95,24.0,86.0,55.0,1.4211070428190935,26.367568,11.2,0.4235000000000001,41.72019072158539,31.29264625263233,14.419065301089866,6.50433592106287
17296,1990-07-15,1990,7,36.6266,29.1238,3.0,16.4,36.6,26.5,25.0,90.0,57.5,1.3463119353022994,24.798568000000007,11.4,0.1540000000000002,40.74015113749315,30.55755776218811,14.38792353706796,6.015839724446536
17296,1990-08-15,1990,8,36.6266,29.1238,3.0,15.6,36.7,26.15,23.0,95.0,59.0,1.1967217202687106,23.003632,11.1,-0.175,37.05933921142589,27.796727968922102,12.896929115498224,5.5017418628864565
17296,1990-09-15,1990,9,36.6266,29.1238,3.0,12.6,35.4,24.0,29.0,95.0,62.0,1.3463119353022994,20.463944,10.2,-0.4095000000000003,31.176363830378104,23.3841434546134,10.139873840163084,4.977551035834066
17296,1990-10-15,1990,10,36.6266,29.1238,3.0,8.7,31.9,20.3,24.0,97.0,60.5,1.0471315052351216,14.610528,8.2,-0.6055,24.01578084169289,18.01327657812017,5.952216134464131,3.31635271650327
17296,1990-11-15,1990,11,36.6266,29.1238,3.0,3.4,27.3,15.35,30.0,95.0,62.5,0.8227461826847385,10.33448,6.0,-0.4969999999999998,18.281233744491463,13.712022182393266,2.9287915843520302,2.067034818776744
17296,1990-12-15,1990,12,36.6266,29.1238,3.0,2.1,24.3,13.2,23.0,95.0,59.0,0.9723363977183274,6.786448,3.3,-0.385,15.667748706345536,11.751751594681531,2.0104990547805377,1.821808071554756
17296,1991-01-15,1991,1,36.6266,29.1238,3.0,0.4,19.3,9.85,27.0,98.0,62.5,0.897541290201533,9.217352000000002,5.0,-0.1855,17.08329571887093,12.813496786896328,2.571985184185528,1.4694463421852022
17296,1991-02-15,1991,2,36.6266,29.1238,3.0,-1.9,23.0,10.55,25.0,100.0,62.5,1.121926612751916,11.029024,4.6,0.2835000000000001,22.067243089391603,16.551756351629063,4.290423262873092,2.3149068827510697
17296,1991-03-15,1991,3,36.6266,29.1238,3.0,0.5,27.3,13.9,21.0,98.0,59.5,1.1967217202687106,16.284128000000003,6.5,0.4795000000000001,29.22923344439653,21.92367883730406,7.481793149003564,3.4185249134141484
17296,1991-04-15,1991,4,36.6266,29.1238,3.0,6.2,28.6,17.400000000000002,35.0,99.0,67.0,1.3463119353022994,20.108304000000004,7.9,0.287,35.70551947869352,26.781281940188855,10.701669249706264,4.259062089654556
17296,1991-05-15,1991,5,36.6266,29.1238,3.0,8.0,28.0,18.0,31.0,93.0,62.0,1.271516827785505,21.0246,7.5,0.4024999999999998,40.1246394028975,30.0958870305373,11.976263715260256,4.381191129843132
17296,1991-06-15,1991,6,36.6266,29.1238,3.0,10.4,35.9,23.15,32.0,93.0,62.5,1.271516827785505,25.3132,11.1,0.623,41.72019072158539,31.29264625263233,14.149269426213865,5.8747239619429
